"","hub"
"1",5.65674330365075e-14
"2",4.16867251159187e-14
"3",-2.89184657906112e-14
"4",4.67819240529181e-15
"5",-3.70717142472391e-15
"6",3.17961028622281e-14
"7",5.12458033809335e-14
"8",-2.02361770999913e-14
"9",-2.02850478451971e-14
"10",-4.91798265181104e-14
"11",1.31800840433403e-14
"12",-2.19669656077636e-15
"13",-3.74441151533131e-14
"14",5.26566690064577e-14
"15",5.05199791984369e-14
"16",-3.36016785341603e-15
"17",-1.93633919356917e-14
"18",5.56975544680184e-14
"19",1.31899170490428e-14
"20",4.9006132792457e-14
"21",9.33535717306929e-15
"22",-2.1131035230711e-14
"23",-1.00665529780224e-14
"24",-4.86985631732001e-14
"25",-3.91645216294752e-14
"26",-3.04662988066054e-15
"27",4.61637636798554e-14
"28",-1.74138057173551e-14
"29",9.50352183171009e-15
"30",-2.27620434868598e-14
"31",-4.64223751228114e-14
"32",-2.9664252846217e-14
"33",2.68752963669205e-14
"34",5.11983614277432e-14
"35",-2.67096516220577e-14
"36",1.94330541867821e-14
"37",-1.50062695965621e-14
"38",-2.90092813993522e-14
"39",-5.55542419519631e-14
"40",1.52351373102331e-14
"41",2.8619192719008e-14
"42",-5.45943470163546e-14
"43",-2.51909291739714e-14
"44",-2.86640117617275e-14
"45",-1.71423017361196e-14
"46",4.83446048031228e-14
"47",-1.48926798139538e-14
"48",-4.35243653874106e-14
"49",2.57147917513793e-14
"50",7.19421972339275e-15
"51",-3.01504766264977e-14
"52",2.51937557797446e-15
"53",2.96674768182288e-14
"54",2.54663176615751e-14
"55",1.59222734044294e-14
"56",3.77305128980495e-14
"57",1.52538397962485e-15
"58",-4.4989893569928e-14
"59",-4.62965788756156e-14
"60",4.97162574067477e-14
"61",-4.57807534017033e-14
"62",-5.11703248641317e-16
"63",-1.84321892127384e-15
"64",2.04740965685993e-14
"65",-5.50570804881911e-14
"66",6.81461147799147e-16
"67",2.64576531013202e-14
"68",4.63031097253132e-14
"69",-5.06580353223696e-14
"70",4.82245643481664e-14
"71",-7.99983309713994e-17
"72",1.31077918133531e-14
"73",2.52202308553146e-14
"74",-4.68179304449004e-14
"75",-3.36553354982064e-15
"76",4.0225028824333e-15
"77",-4.9890736514826e-14
"78",5.09020154670974e-14
"79",-2.9586821290522e-14
"80",-3.05699423231834e-14
"81",-3.70882943332112e-14
"82",4.23849586118283e-14
"83",5.47732409109853e-14
"84",-2.13212209770564e-14
"85",-4.1662124873563e-14
"86",-1.46560695395431e-14
"87",-2.67255226415644e-14
"88",-2.55023870104219e-14
"89",-5.65070865445635e-14
"90",-4.39622795503136e-14
"91",3.01853861895327e-14
"92",2.19123593577684e-14
"93",1.685561007353e-14
"94",-1.50173814109173e-15
"95",-1.03082771701028e-14
"96",-3.91431003403708e-14
"97",9.94697573429996e-15
"98",-3.86377426483468e-14
"99",2.60985396781779e-14
"100",9.57196391642634e-15
"101",-4.22049598963318e-15
"102",3.62969762718465e-15
"103",2.40742035971903e-14
"104",3.63928818002127e-14
"105",3.9176996781579e-14
"106",-8.10686278290222e-15
"107",-3.4213105882339e-14
"108",5.28285496934207e-14
"109",-3.89753884218257e-15
"110",1.71955556362871e-16
"111",-5.15180281344945e-14
"112",-2.80911875449245e-14
"113",-6.17545632419377e-15
"114",-4.42069047475022e-14
"115",-1.41250497405076e-14
"116",-3.86971172128274e-14
"117",3.8492671141483e-14
"118",3.24984438089904e-14
"119",-2.42916887989323e-14
"120",4.18123914648552e-14
"121",4.62741943502617e-14
"122",2.55024153384448e-14
"123",5.62295746124889e-14
"124",9.69665936344713e-15
"125",5.35275216746347e-14
"126",-2.37384644735673e-14
"127",-4.95420863370643e-14
"128",2.94255239726569e-14
"129",3.61023527391338e-14
"130",2.06430054780295e-14
"131",-4.37828055633336e-14
"132",-1.7203422987319e-14
"133",3.95601333117482e-14
"134",-2.05168633246955e-14
"135",1.29184139706365e-14
"136",1.27022490387063e-14
"137",2.92989454435208e-17
"138",3.98770799086766e-14
"139",-9.86402600295877e-15
"140",-3.90973418441092e-14
"141",-1.01946296272302e-14
"142",-5.15231958632339e-14
"143",-6.3521713716875e-15
"144",3.98070677973435e-14
"145",-5.4679683796033e-14
"146",1.03218170866833e-14
"147",4.05234175853719e-14
"148",-7.34235825022593e-15
"149",2.80433732174511e-14
"150",1.29943435447588e-15
"151",4.06947964388469e-15
"152",-5.21666247727266e-14
"153",4.23098296172006e-14
"154",3.39685324015864e-14
"155",2.04496505121474e-14
"156",-1.46250436664659e-14
"157",4.22325909204051e-14
"158",-1.71123735691482e-14
"159",-1.37612389977168e-14
"160",-3.42888823990626e-14
"161",2.85284273003398e-14
"162",2.66644526106104e-15
"163",1.25227010736489e-14
"164",3.35733464796736e-14
"165",5.33581076275379e-14
"166",-4.54440203909253e-14
"167",8.31589693948193e-15
"168",4.0500744659574e-14
"169",-5.06273349590122e-14
"170",1.014689562532e-14
"171",4.17258949853311e-14
"172",-4.36312502502259e-14
"173",4.61404681579456e-14
"174",3.82175031918309e-14
"175",4.85286003217193e-14
"176",1.52349973701985e-14
"177",2.79381529829761e-14
"178",4.1282805878392e-14
"179",-3.20349809383935e-14
"180",5.05641297881895e-15
"181",1.70243103372833e-14
"182",5.39661511724887e-15
"183",-3.49529522639363e-14
"184",-4.88382916057867e-14
"185",-1.71568084432644e-14
"186",3.22158852024481e-14
"187",-2.03185140309572e-14
"188",-4.6264220257228e-14
"189",2.82701030168736e-14
"190",-4.0826706170064e-14
"191",3.25130590519455e-15
"192",-6.73833016870394e-16
"193",-1.13582783335946e-14
"194",-3.59280865844523e-14
"195",-2.89452929497064e-14
"196",4.27148033475247e-15
"197",-5.10660790593383e-14
"198",-1.50175528126808e-14
"199",6.86396956662827e-15
"200",-3.67352676519788e-14
"201",-2.13807296440494e-14
"202",-2.28769821245023e-14
"203",-5.51142714914729e-14
"204",-5.1411107002327e-14
"205",-3.9741640391778e-14
"206",2.38359402725411e-14
"207",-4.2341948325953e-15
"208",-1.63309067710253e-15
"209",4.48662053358342e-14
"210",9.72648595778626e-15
"211",-8.67943503040853e-15
"212",-4.26033850547189e-14
"213",6.78380468090783e-15
"214",-2.59928092499291e-14
"215",-4.17774498193222e-14
"216",-2.43972097938121e-14
"217",-3.40227173237178e-14
"218",-2.33667990755234e-14
"219",-2.734699801559e-14
"220",5.4408121493614e-14
"221",-4.36745309128095e-14
"222",-2.82696888787598e-15
"223",4.14953450376839e-15
"224",4.91928606294328e-14
"225",-2.41460127194222e-14
"226",1.25092919400972e-15
"227",-1.89706517603859e-14
"228",-2.0596540076823e-14
"229",3.39913842774103e-14
"230",-4.71366481247234e-14
"231",-4.13947066670242e-14
"232",-4.41253428872102e-14
"233",-4.97218018776849e-15
"234",4.0820254337627e-14
"235",5.61751275223318e-15
"236",-5.53647334339189e-14
"237",3.21838587521097e-14
"238",6.10675537433146e-15
"239",2.08473039702009e-14
"240",-1.65852083709512e-15
"241",-4.31622533272283e-14
"242",6.81923630613813e-15
"243",3.67334506701332e-15
"244",-3.469336860669e-14
"245",1.52555944564113e-14
"246",3.26379318388363e-14
"247",-5.64683425469739e-14
"248",3.91901223711058e-14
"249",-1.47629457871676e-14
"250",-1.31634690745097e-14
"251",5.65015366061448e-14
"252",5.64689482870657e-14
"253",-3.092625050053e-14
"254",-2.57201097911785e-14
"255",2.04578685483372e-14
"256",9.3084629463713e-15
"257",-2.06468592536277e-14
"258",-2.04282620329679e-14
"259",3.33455903444021e-14
"260",-3.8061504693262e-14
"261",-2.36364803027362e-14
"262",-3.71892258951109e-14
"263",4.5871190360657e-14
"264",4.73210675137999e-14
"265",-2.98687248025941e-14
"266",-1.46592914934907e-14
"267",3.23738920559124e-14
"268",3.24081909948263e-14
"269",4.73973397956919e-14
"270",1.25781671766213e-14
"271",-5.11556982097065e-14
"272",-5.06337711300088e-14
"273",1.24616174183261e-14
"274",2.61103070422711e-14
"275",-2.17415010076895e-14
