"","hub"
"1",1.45568524579612e-16
"2",1.07893521704197e-16
"3",-7.49687117535177e-17
"4",1.2039045796677e-17
"5",-9.5685277595836e-18
"6",8.17486115051156e-17
"7",1.3240260118631e-16
"8",-5.22177031241971e-17
"9",-5.24274514136465e-17
"10",-1.26814018433907e-16
"11",3.40101403955e-17
"12",-5.6349771594193e-18
"13",-9.63544917443261e-17
"14",1.3608041734018e-16
"15",1.30543149165106e-16
"16",-8.64970245580252e-18
"17",-4.9617332248607e-17
"18",1.4345980546371e-16
"19",3.39262790972274e-17
"20",1.26144254707021e-16
"21",2.40581314329807e-17
"22",-5.45026471080356e-17
"23",-2.60018902383794e-17
"24",-1.25441840916353e-16
"25",-1.00920269894915e-16
"26",-7.86094494422556e-18
"27",1.18949661628e-16
"28",-4.48117445152303e-17
"29",2.4570740916003e-17
"30",-5.88663446045619e-17
"31",-1.19991948657423e-16
"32",-7.66462891591289e-17
"33",6.92889037294889e-17
"34",1.32363926299092e-16
"35",-6.86610004048376e-17
"36",4.99172523374125e-17
"37",-3.85809139588093e-17
"38",-7.49919923101743e-17
"39",-1.42598457520331e-16
"40",3.92434699081325e-17
"41",7.3883984479687e-17
"42",-1.40214240331064e-16
"43",-6.47675841341019e-17
"44",-7.38739340594467e-17
"45",-4.41957855787709e-17
"46",1.24735285185925e-16
"47",-3.8192577797004e-17
"48",-1.11936528895878e-16
"49",6.6586210328868e-17
"50",1.85666617681348e-17
"51",-7.81015914096293e-17
"52",6.5165579368629e-18
"53",7.61805204646499e-17
"54",6.56323438878907e-17
"55",4.10340306409657e-17
"56",9.70373760289753e-17
"57",3.94395460462973e-18
"58",-1.15614323777556e-16
"59",-1.19131912453556e-16
"60",1.28445449796816e-16
"61",-1.18117117965081e-16
"62",-1.31810401718487e-18
"63",-4.76188209129956e-18
"64",5.28386547779776e-17
"65",-1.42081368580847e-16
"66",1.75942779122709e-18
"67",6.78977517370267e-17
"68",1.19616270531868e-16
"69",-1.30580184831375e-16
"70",1.24388131435979e-16
"71",-2.05285282557798e-19
"72",3.36510062155725e-17
"73",6.47270542064727e-17
"74",-1.20852366474734e-16
"75",-8.7171836827216e-18
"76",1.0377006138238e-17
"77",-1.28835555758219e-16
"78",1.31143663431003e-16
"79",-7.60222761121983e-17
"80",-7.92788497741608e-17
"81",-9.55987980342963e-17
"82",1.09668370241528e-16
"83",1.42225418110717e-16
"84",-5.48561778098073e-17
"85",-1.07522485883773e-16
"86",-3.77645378909131e-17
"87",-6.87817821226506e-17
"88",-6.56238059779421e-17
"89",-1.46159680922198e-16
"90",-1.13095573598908e-16
"91",7.80833995934671e-17
"92",5.66566802919547e-17
"93",4.34786423025958e-17
"94",-3.87387276833582e-18
"95",-2.65854717337683e-17
"96",-1.01274000838192e-16
"97",2.56063503319261e-17
"98",-9.97281569786208e-17
"99",6.71840332061752e-17
"100",2.46636401106791e-17
"101",-1.08704046153237e-17
"102",9.35914908273127e-18
"103",6.20325351304473e-17
"104",9.42619904958674e-17
"105",1.00666795829699e-16
"106",-2.08533512206003e-17
"107",-8.82176991086136e-17
"108",1.36633338220708e-16
"109",-1.012281130835e-17
"110",4.43166471778853e-19
"111",-1.32099066572133e-16
"112",-7.25353443063415e-17
"113",-1.58742172085445e-17
"114",-1.13653705095957e-16
"115",-3.64950870376485e-17
"116",-9.99634211906007e-17
"117",9.95755467874136e-17
"118",8.35991076633213e-17
"119",-6.26387588370278e-17
"120",1.07595798586166e-16
"121",1.193690144269e-16
"122",6.61042895074961e-17
"123",1.45586538362391e-16
"124",2.51011968639421e-17
"125",1.37917097803079e-16
"126",-6.14640357789842e-17
"127",-1.27502546225995e-16
"128",7.58724952623348e-17
"129",9.31133100763494e-17
"130",5.30914065445506e-17
"131",-1.13274986646043e-16
"132",-4.41274710704651e-17
"133",1.01756844894243e-16
"134",-5.29248882570101e-17
"135",3.33184162021347e-17
"136",3.27168307291893e-17
"137",7.53487808082824e-20
"138",1.03171319754493e-16
"139",-2.53832230860743e-17
"140",-1.00588142919066e-16
"141",-2.6334081041578e-17
"142",-1.33047908384352e-16
"143",-1.62933650196777e-17
"144",1.02866363736986e-16
"145",-1.40460191084276e-16
"146",2.66001081769026e-17
"147",1.04816494474549e-16
"148",-1.89407544982357e-17
"149",7.22792156379546e-17
"150",3.36109406057273e-18
"151",1.05020343257266e-17
"152",-1.346782807881e-16
"153",1.08985716715064e-16
"154",8.75025936303876e-17
"155",5.26155768328248e-17
"156",-3.7800860765021e-17
"157",1.08529656832494e-16
"158",-4.43831152245392e-17
"159",-3.55153618400446e-17
"160",-8.78180868826663e-17
"161",7.32262398568819e-17
"162",6.86417331000026e-18
"163",3.21047993983996e-17
"164",8.70784321753146e-17
"165",1.37427779129563e-16
"166",-1.1718116768839e-16
"167",2.13922960525476e-17
"168",1.04749498522135e-16
"169",-1.30341282767769e-16
"170",2.62035677783652e-17
"171",1.07633544452091e-16
"172",-1.12593121020934e-16
"173",1.18553207132683e-16
"174",9.90137017491174e-17
"175",1.25203969999817e-16
"176",3.9288622262403e-17
"177",7.15690516113051e-17
"178",1.06557427582129e-16
"179",-8.24561302208943e-17
"180",1.29676131583122e-17
"181",4.38793901051121e-17
"182",1.38532749186764e-17
"183",-9.06042518027475e-17
"184",-1.26556044410007e-16
"185",-4.40928641881548e-17
"186",8.31757231098571e-17
"187",-5.22662683289222e-17
"188",-1.19112253010137e-16
"189",7.2928127384287e-17
"190",-1.05606188112081e-16
"191",8.43875798380676e-18
"192",-1.72768071985696e-18
"193",-2.9423488587095e-17
"194",-9.25200778138984e-17
"195",-7.46877499405312e-17
"196",1.10276077427037e-17
"197",-1.3171595898277e-16
"198",-3.88972547512558e-17
"199",1.76806205873788e-17
"200",-9.4523893808036e-17
"201",-5.54727424463465e-17
"202",-5.90699472786267e-17
"203",-1.4160732427372e-16
"204",-1.32629187422236e-16
"205",-1.02444199035463e-16
"206",6.15242122373137e-17
"207",-1.09284099478798e-17
"208",-4.21707664462271e-18
"209",1.16000289854481e-16
"210",2.51457834006254e-17
"211",-2.23714194411461e-17
"212",-1.09911943937989e-16
"213",1.76045713985241e-17
"214",-6.67150168117793e-17
"215",-1.08183834936233e-16
"216",-6.3056278453083e-17
"217",-8.77576438632456e-17
"218",-6.01017295570032e-17
"219",-7.06061378150556e-17
"220",1.40166195880891e-16
"221",-1.12655943320075e-16
"222",-7.28559833308322e-18
"223",1.06932435162037e-17
"224",1.2704614684893e-16
"225",-6.21393454440949e-17
"226",3.22528550977041e-18
"227",-4.87465604704473e-17
"228",-5.31675215167424e-17
"229",8.77685619113766e-17
"230",-1.22207566635968e-16
"231",-1.067576235624e-16
"232",-1.13727897067196e-16
"233",-1.28548589654178e-17
"234",1.05197291445554e-16
"235",1.45266220280693e-17
"236",-1.42145372834733e-16
"237",8.29401886061442e-17
"238",1.57574929644223e-17
"239",5.40481726455135e-17
"240",-4.25097108576273e-18
"241",-1.11421633961405e-16
"242",1.75708740967968e-17
"243",9.48853392915834e-18
"244",-8.92238224590911e-17
"245",3.95178411415992e-17
"246",8.4199978763837e-17
"247",-1.45268712567644e-16
"248",1.01289277771065e-16
