"","hub"
"1",2.17001855361373e-18
"2",2.09158777044323e-18
"3",-1.2359923101943e-18
"4",1.92856549636928e-19
"5",-1.535225121747e-19
"6",1.35629804857684e-18
"7",2.33558075276331e-18
"8",-8.23815330211168e-19
"9",-1.07320224384764e-18
"10",-2.16027227799368e-18
"11",6.05279124442839e-19
"12",-1.13868282255598e-19
"13",-1.7117852462218e-18
"14",2.53325023342935e-18
"15",2.14938213274667e-18
"16",-1.1572051030617e-19
"17",-8.70484165546317e-19
"18",2.16996362792969e-18
"19",6.63945141771605e-19
"20",1.90355601587552e-18
"21",4.43074093160309e-19
"22",-9.57151964384135e-19
"23",-5.72661242858899e-19
"24",-2.28741321589738e-18
"25",-2.01048702057313e-18
"26",-1.3577116006882e-19
"27",2.41161320243536e-18
"28",-9.20980661486301e-19
"29",4.81532482762839e-19
"30",-1.12614818140224e-18
"31",-2.19253562781348e-18
"32",-1.419900852786e-18
"33",1.19244467848382e-18
"34",2.13265167961619e-18
"35",-1.18408685548095e-18
"36",8.46923619514464e-19
"37",-7.36726806107286e-19
"38",-1.29036481549032e-18
"39",-2.42955012652885e-18
"40",6.79999556137062e-19
"41",1.32686431481399e-18
"42",-2.26963708734348e-18
"43",-1.14886275526756e-18
"44",-1.40872349194703e-18
"45",-8.32489883082777e-19
"46",1.9931374337331e-18
"47",-7.60663695179886e-19
"48",-2.48556616212238e-18
"49",1.29515353908562e-18
"50",2.49571744091128e-19
"51",-1.29274895580048e-18
"52",1.04260031634176e-19
"53",1.33493972715758e-18
"54",1.3139492399029e-18
"55",7.76875719137027e-19
"56",1.85743144434571e-18
"57",7.19947699155361e-20
"58",-1.96722801348446e-18
"59",-2.31018909421519e-18
"60",2.17909527223886e-18
"61",-2.05072339816681e-18
"62",-2.57465673502474e-20
"63",-9.92843989413124e-20
"64",7.70822847852871e-19
"65",-2.62276095546834e-18
"66",3.73000761148172e-20
"67",1.31086336732434e-18
"68",1.98917367249169e-18
"69",-2.49402757455206e-18
"70",2.28042545095009e-18
"71",-3.65208157108456e-21
"72",4.56486873981445e-19
"73",9.03937210002221e-19
"74",-1.90141133640486e-18
"75",-1.37221539639301e-19
"76",1.81687316542865e-19
"77",-2.59955302549999e-18
"78",2.33032341702721e-18
"79",-1.44607251793204e-18
"80",-1.52894039970347e-18
"81",-1.8722611124646e-18
"82",1.96086326178749e-18
"83",2.63425185973007e-18
"84",-9.08323451341551e-19
"85",-1.8373003975918e-18
"86",-6.25781762491354e-19
"87",-1.34284372265116e-18
"88",-1.23050288186619e-18
"89",-2.40286642234295e-18
"90",-1.46769780687901e-18
"91",1.56276113988144e-18
"92",8.90494611102696e-19
"93",8.18548308186878e-19
"94",-7.03878389718893e-20
"95",-4.33039555688006e-19
"96",-1.79909714434619e-18
"97",5.10682060260828e-19
"98",-1.75737763931002e-18
"99",1.21151951345709e-18
"100",5.20412272875074e-19
"101",-1.54161826194152e-19
"102",1.73484772824474e-19
"103",1.04436605767707e-18
"104",1.78457668203064e-18
"105",1.82681065586468e-18
"106",-3.12462000333143e-19
"107",-1.43777200953315e-18
"108",2.2393864547805e-18
"109",-2.09760160072325e-19
"110",6.44484666693356e-21
"111",-2.27260120424992e-18
"112",-1.16240801465907e-18
"113",-2.91914037310781e-19
"114",-1.84491778772729e-18
"115",-5.31898573915382e-19
"116",-1.9111529500005e-18
"117",1.86012308128377e-18
"118",1.31028848227501e-18
"119",-1.18491985968755e-18
"120",1.77549766679215e-18
"121",1.97677958413153e-18
"122",1.28861146269435e-18
"123",2.54233147871759e-18
"124",5.06421730882435e-19
"125",1.93494585832931e-18
"126",-1.03510202738783e-18
"127",-1.97234384664907e-18
"128",1.42220875077271e-18
"129",1.7936133412863e-18
"130",8.14486737974002e-19
"131",-2.31380142452325e-18
"132",-6.43087599040318e-19
"133",1.85859744380419e-18
"134",-1.05027603605259e-18
"135",5.72219854764019e-19
"136",6.76992426885786e-19
"137",1.38394811969416e-21
"138",1.90215249609666e-18
"139",-3.81542216248048e-19
"140",-1.62848235027397e-18
"141",-4.42553090282797e-19
"142",-2.39590000131898e-18
"143",-3.19015244727466e-19
"144",2.02271695882438e-18
