"","hub"
"1",5.08439487451951e-17
"2",3.77493088172271e-17
"3",-2.61921901633824e-17
"4",4.2343460644429e-18
"5",-3.3609694430081e-18
"6",2.85078577528057e-17
"7",4.66472042354865e-17
"8",-1.83630287386513e-17
"9",-1.85080122313606e-17
"10",-4.45673546996997e-17
"11",1.19284647937689e-17
"12",-1.98036672342216e-18
"13",-3.41007796635018e-17
"14",4.75761468236667e-17
"15",4.60131131633609e-17
"16",-3.03444456055558e-18
"17",-1.75111671440786e-17
"18",5.02404280748486e-17
"19",1.19433998599708e-17
"20",4.42608712875627e-17
"21",8.40814746564748e-18
"22",-1.90519593795323e-17
"23",-9.10320881604311e-18
"24",-4.39302824515641e-17
"25",-3.56462574590832e-17
"26",-2.72965192371868e-18
"27",4.18153310626446e-17
"28",-1.58972606350563e-17
"29",8.5424209768457e-18
"30",-2.06728068397598e-17
"31",-4.20996924860197e-17
"32",-2.69106694447867e-17
"33",2.42459911382754e-17
"34",4.61590180385422e-17
"35",-2.42757171052232e-17
"36",1.75541076507976e-17
"37",-1.36244169282022e-17
"38",-2.62755484707236e-17
"39",-4.97538926980749e-17
"40",1.38669175387037e-17
"41",2.58592479339728e-17
"42",-4.93982550116091e-17
"43",-2.30593590842769e-17
"44",-2.57236426026341e-17
"45",-1.54035644866709e-17
"46",4.35281849677161e-17
"47",-1.33963221084192e-17
"48",-3.92986553529262e-17
"49",2.29779395032319e-17
"50",6.54230450366522e-18
"51",-2.73633609254703e-17
"52",2.28085473318313e-18
"53",2.6923602215072e-17
"54",2.29798671010613e-17
"55",1.43255000655336e-17
"56",3.42967364602263e-17
"57",1.37958043869028e-18
"58",-4.06361972953993e-17
"59",-4.20313990207079e-17
"60",4.53715133843308e-17
"61",-4.13763457522237e-17
"62",-4.62431118515118e-19
"63",-1.66161571682063e-18
"64",1.84811884679444e-17
"65",-4.97813222070251e-17
"66",6.19193143181918e-19
"67",2.398148421232e-17
"68",4.18008034929986e-17
"69",-4.56172301607055e-17
"70",4.33019256411165e-17
"71",-7.20738883830907e-20
"72",1.1802275079959e-17
"73",2.28246813486471e-17
"74",-4.24993659079222e-17
"75",-3.00440957881148e-18
"76",3.65181698688019e-18
"77",-4.52068665642553e-17
"78",4.59661895864132e-17
"79",-2.66699116647049e-17
"80",-2.76455595119571e-17
"81",-3.36040789520536e-17
"82",3.80032215122231e-17
"83",4.9847695455447e-17
"84",-1.92757368882043e-17
"85",-3.78846543976412e-17
"86",-1.32265649603411e-17
"87",-2.43177203109159e-17
"88",-2.30177641166026e-17
"89",-5.14252342925139e-17
"90",-3.9920841775616e-17
"91",2.74046080202951e-17
"92",1.99156726340696e-17
"93",1.53183015581172e-17
"94",-1.36075072157639e-18
"95",-9.32059501799731e-18
"96",-3.54587448566534e-17
"97",8.99868681955743e-18
"98",-3.48361042752388e-17
"99",2.3601237411636e-17
"100",8.62379329011787e-18
"101",-3.80010445777239e-18
"102",3.27947545380341e-18
"103",2.16386665952254e-17
"104",3.29438229211716e-17
"105",3.52578290859662e-17
"106",-7.3172335135082e-18
"107",-3.10195535024371e-17
"108",4.82754339038262e-17
"109",-3.53204247279203e-18
"110",1.56287028535082e-19
"111",-4.71456510891255e-17
"112",-2.55969668962524e-17
"113",-5.55731413239876e-18
"114",-4.00554590629721e-17
"115",-1.28284507802378e-17
"116",-3.49631222530121e-17
"117",3.47425658429719e-17
"118",2.91808946202382e-17
"119",-2.19988009308482e-17
"120",3.77469873018459e-17
"121",4.22542041320805e-17
"122",2.30540614523257e-17
"123",5.08245709123054e-17
"124",8.79081974259278e-18
"125",4.84542335613535e-17
"126",-2.16811793352887e-17
"127",-4.51096559294017e-17
"128",2.65490827872518e-17
"129",3.2548796805986e-17
"130",1.85969722957626e-17
"131",-3.96860314360591e-17
"132",-1.56214973496993e-17
"133",3.5763968451182e-17
"134",-1.86114974562843e-17
"135",1.17234858189033e-17
"136",1.15150543136129e-17
"137",2.65300709294131e-20
"138",3.60359169370371e-17
"139",-8.91036161746524e-18
"140",-3.54740918632811e-17
"141",-9.24402915215339e-18
"142",-4.65514676282774e-17
"143",-5.7088317013199e-18
"144",3.60975763332974e-17
"145",-4.94239894041653e-17
"146",9.39038403823306e-18
"147",3.69979234267946e-17
"148",-6.60441858224304e-18
"149",2.53892473994802e-17
"150",1.1728559228939e-18
"151",3.70125363977865e-18
"152",-4.71100803944038e-17
"153",3.84573743950474e-17
"154",3.06638273434158e-17
"155",1.85828773611714e-17
