"","hub"
"1",7.56000630769766e-16
"2",5.56962852407275e-16
"3",-3.86188386507292e-16
"4",6.25279584141581e-17
"5",-4.95316722426989e-17
"6",4.24726320273083e-16
"7",6.8478479851697e-16
"8",-2.70367692198575e-16
"9",-2.71122838674362e-16
"10",-6.5734806321722e-16
"11",1.7612782444979e-16
"12",-2.93525566167302e-17
"13",-5.00226284239663e-16
"14",7.03475488127686e-16
"15",6.74967591150773e-16
"16",-4.48946479815648e-17
"17",-2.585901352281e-16
"18",7.44037319938103e-16
"19",1.76295702720311e-16
"20",6.54832092476655e-16
"21",1.24794524431058e-16
"22",-2.82486996412503e-16
"23",-1.34463559679681e-16
"24",-6.50580512071606e-16
"25",-5.23355884556757e-16
"26",-4.07265330975877e-17
"27",6.16916120801452e-16
"28",-2.32801416432976e-16
"29",1.26997570408006e-16
"30",-3.04174635963823e-16
"31",-6.20361955429402e-16
"32",-3.96433896793721e-16
"33",3.58958859998385e-16
"34",6.84194072635542e-16
"35",-3.56781160872646e-16
"36",2.59572824089511e-16
"37",-2.00473364035788e-16
"38",-3.87512300192508e-16
"39",-7.42474806782525e-16
"40",2.03542430757217e-16
"41",3.82261196312734e-16
"42",-7.2949665901791e-16
"43",-3.36439709112969e-16
"44",-3.83010844013277e-16
"45",-2.29030129515999e-16
"46",6.46122722625181e-16
"47",-1.98941358565218e-16
"48",-5.81614891440339e-16
"49",3.43661504043104e-16
"50",9.61252357634025e-17
"51",-4.02965838537737e-16
"52",3.36728144195329e-17
"53",3.96547427869629e-16
"54",3.40306939669907e-16
"55",2.12730255767518e-16
"56",5.04168096474204e-16
"57",2.03946044847544e-17
"58",-6.01236766678509e-16
"59",-6.18671850783764e-16
"60",6.64099270956317e-16
"61",-6.1182773398263e-16
"62",-6.8335590027822e-18
"63",-2.46302268533281e-17
"64",2.73730057367345e-16
"65",-7.35585887581961e-16
"66",9.10621793673012e-18
"67",3.53438755183684e-16
"68",6.18751335225744e-16
"69",-6.77426659490731e-16
"70",6.44471327834185e-16
"71",-1.06881663952982e-18
"72",1.75202849602614e-16
"73",3.37248663558718e-16
"74",-6.2590590045806e-16
"75",-4.49584239894505e-17
"76",5.3733355231574e-17
"77",-6.66571024004545e-16
"78",6.80388326828129e-16
"79",-3.95456835280129e-16
"80",-4.0853515266234e-16
"81",-4.95790220917278e-16
"82",5.66415383598272e-16
"83",7.31955320956218e-16
"84",-2.84937150145669e-16
"85",-5.56787190364972e-16
"86",-1.95823368134414e-16
"87",-3.57060538438655e-16
"88",-3.40699456777526e-16
"89",-7.55437856324144e-16
"90",-5.87458620136448e-16
"91",4.03332301992854e-16
"92",2.92839842637996e-16
"93",2.25352971169145e-16
"94",-2.00632707302484e-17
"95",-1.37749897145867e-16
"96",-5.23006021844255e-16
"97",1.32853914125882e-16
"98",-5.16404006454004e-16
"99",3.48751310588163e-16
"100",1.27905915501036e-16
"101",-5.64212793025539e-17
"102",4.85004206043511e-17
"103",3.21639726862758e-16
"104",4.86334418786798e-16
"105",5.23699902973703e-16
"106",-1.08281920138908e-16
"107",-4.57353465927844e-16
"108",7.05852936753316e-16
"109",-5.206906060694e-17
"110",2.29794464582497e-18
"111",-6.88264923744172e-16
"112",-3.75253000226869e-16
"113",-8.25257776397885e-17
"114",-5.90864539575649e-16
"115",-1.88852545842779e-16
"116",-5.16780572663517e-16
"117",5.14439477353621e-16
"118",4.341116786717e-16
"119",-3.24705342032898e-16
"120",5.58692569052172e-16
"121",6.18437612042264e-16
"122",3.40749306703869e-16
"123",7.51315250256081e-16
"124",1.29581540887901e-16
"125",7.15227747166427e-16
"126",-3.17054741362044e-16
"127",-6.62121300065983e-16
"128",3.93187483924144e-16
"129",4.82335692021622e-16
"130",2.75940073409499e-16
"131",-5.85014122316326e-16
"132",-2.29905813031745e-16
"133",5.28649879247037e-16
"134",-2.74187747361751e-16
"135",1.72588871615936e-16
"136",1.69703985150096e-16
"137",3.91588009954937e-19
"138",5.32897688679354e-16
"139",-1.31755731141895e-16
"140",-5.2243750641949e-16
"141",-1.36255359411137e-16
"142",-6.88276281578805e-16
"143",-8.48964078740425e-17
"144",5.31601303314047e-16
"145",-7.30471298290834e-16
"146",1.37872121103369e-16
"147",5.41663011671376e-16
"148",-9.81408127081284e-17
"149",3.74522836183595e-16
"150",1.73675028472759e-17
"151",5.43644244035121e-17
"152",-6.96930761325815e-16
"153",5.65261721136338e-16
"154",4.54016021762752e-16
"155",2.73208468225296e-16
"156",-1.95371707548581e-16
"157",5.64416861724393e-16
"158",-2.28595939482778e-16
"159",-1.83842936651188e-16
"160",-4.5846648731473e-16
"161",3.81320575360437e-16
"162",3.56363567631579e-17
"163",1.67386749034775e-16
"164",4.4861367182561e-16
"165",7.13044836344297e-16
"166",-6.07362974025541e-16
"167",1.11086948751883e-16
"168",5.41228111198951e-16
"169",-6.76278625574246e-16
"170",1.35554235681007e-16
"171",5.57582237902975e-16
"172",-5.83027624184834e-16
"173",6.16833332783805e-16
"174",5.1069388737681e-16
"175",6.48329955568424e-16
"176",2.03607006694832e-16
"177",3.73257530944637e-16
"178",5.5183228145693e-16
"179",-4.2785472365075e-16
