"","hub"
"1",3.44642140038549e-14
"2",2.53978523268598e-14
"3",-1.76187383566899e-14
"4",2.85029266918013e-15
"5",-2.25865102394424e-15
"6",1.93723313266366e-14
"7",3.12219523565367e-14
"8",-1.23291004747322e-14
"9",-1.23588911851296e-14
"10",-2.9963272542058e-14
"11",8.03027800101895e-15
"12",-1.33837709149215e-15
"13",-2.28132323489784e-14
"14",3.20818506582735e-14
"15",3.07800943147191e-14
"16",-2.04725150530682e-15
"17",-1.17974548123999e-14
"18",3.39341775278733e-14
"19",8.03619503484496e-15
"20",2.98574918614834e-14
"21",5.68769104467565e-15
"22",-1.28742991846675e-14
"23",-6.13313614986305e-15
"24",-2.96702854525791e-14
"25",-2.38613675663547e-14
"26",-1.85621024990974e-15
"27",2.81260151677588e-14
"28",-1.0609768845134e-14
"29",5.79018920155947e-15
"30",-1.38679795007391e-14
"31",-2.82833607404894e-14
"32",-1.80732717989847e-14
"33",1.6374044753861e-14
"34",3.11931917015322e-14
"35",-1.6273188985686e-14
"36",1.18399206212537e-14
"37",-9.14275601004445e-15
"38",-1.76743768187562e-14
"39",-3.38474540485544e-14
"40",9.28224632288573e-15
"41",1.74366775395549e-14
"42",-3.32622929578681e-14
"43",-1.53478792791206e-14
"44",-1.74639520331979e-14
"45",-1.04441801914892e-14
"46",2.94552007606634e-14
"47",-9.07348622061717e-15
"48",-2.6518179162782e-14
"49",1.5667115244488e-14
"50",4.38313519047852e-15
"51",-1.83696121038653e-14
"52",1.5349395669459e-15
"53",1.80750200504321e-14
"54",1.55156578276179e-14
"55",9.70092827364994e-15
"56",2.29877179568687e-14
"57",9.29379150650319e-16
"58",-2.74102843438716e-14
"59",-2.82066203159253e-14
"60",3.02903174437711e-14
"61",-2.78931598342559e-14
"62",-3.11767918711748e-16
"63",-1.12299535898109e-15
"64",1.24740478793221e-14
"65",-3.35443272692013e-14
"66",4.15188535201878e-16
"67",1.61199358921419e-14
"68",2.82106182754627e-14
"69",-3.08644697408875e-14
