"","hub"
"1",1.8748630951506e-16
"2",1.38175473454158e-16
"3",-9.57345944536009e-17
"4",1.54789546841658e-17
"5",-1.22772442695635e-17
"6",1.05202315051013e-16
"7",1.69277339603082e-16
"8",-6.70154731366257e-17
"9",-6.71509043159846e-17
"10",-1.62711635725602e-16
"11",4.3463041417158e-17
"12",-7.27960386858071e-18
"13",-1.24074167285369e-16
"14",1.74383478224311e-16
"15",1.67283640790564e-16
"16",-1.10967196786478e-17
"17",-6.41935942897989e-17
"18",1.84579515287917e-16
"19",4.3691470816663e-17
"20",1.62104263974959e-16
"21",3.08456779814122e-17
"22",-6.99228701807332e-17
"23",-3.33180940935549e-17
"24",-1.60944268768249e-16
"25",-1.29830073112686e-16
"26",-1.00695342181946e-17
"27",1.52690777495589e-16
"28",-5.76593035751548e-17
"29",3.14573908555951e-17
"30",-7.5243679043036e-17
"31",-1.53645515188874e-16
"32",-9.82391845553098e-17
"33",8.89937759864106e-17
"34",1.69464456297707e-16
"35",-8.82294529974897e-17
"36",6.43570097129635e-17
"37",-4.96956710007304e-17
"38",-9.61657131388049e-17
"39",-1.83690685118537e-16
"40",5.04353470015238e-17
"41",9.48525118389631e-17
"42",-1.81114829065117e-16
"43",-8.33963408473275e-17
"44",-9.49766522095318e-17
"45",-5.68053598043402e-17
"46",1.59843268060645e-16
"47",-4.9368703741635e-17
"48",-1.44066900397342e-16
"49",8.51685881262676e-17
"50",2.38435089060295e-17
"51",-9.98649316789184e-17
"52",8.33708840944182e-18
"53",9.81153143529082e-17
"54",8.43900034540197e-17
"55",5.27286663970265e-17
"56",1.24960046301883e-16
"57",5.03784001183159e-18
"58",-1.48733867739894e-16
"59",-1.53177903524582e-16
"60",1.64416360839594e-16
"61",-1.51579347792035e-16
"62",-1.69221039821156e-18
"63",-6.0878587236298e-18
"64",6.78653650219194e-17
"65",-1.82431712509248e-16
"66",2.25676641272971e-18
"67",8.76585106236935e-17
"68",1.53463563058264e-16
"69",-1.67342924351216e-16
"70",1.59587404112623e-16
"71",-2.65216095578838e-19
"72",4.3364374781229e-17
"73",8.34400982415649e-17
"74",-1.54974188438722e-16
"75",-1.11409690327641e-17
"76",1.3342220414901e-17
"77",-1.65159079153345e-16
"78",1.68491928219827e-16
"79",-9.78404167150832e-17
"80",-1.01214850029175e-16
"81",-1.22662036465722e-16
"82",1.40022796863694e-16
"83",1.8087491680451e-16
"84",-7.06502677850944e-17
"85",-1.37999096381235e-16
"86",-4.85481105941916e-17
"87",-8.84682042103694e-17
"88",-8.44255373295936e-17
"89",-1.8723644664537e-16
"90",-1.45815582115184e-16
"91",1.00052746077386e-16
"92",7.2467076572446e-17
"93",5.59630651429282e-17
"94",-4.9640065183706e-18
"95",-3.41817645783565e-17
"96",-1.29580997448585e-16
