"","hub"
"1",1.53674156727607e-14
"2",1.13249428584438e-14
"3",-7.856008794521e-15
"4",1.27088928233994e-15
"5",-1.00708453328515e-15
"6",8.63803731082081e-15
"7",1.39218262296635e-14
"8",-5.49746714148113e-15
"9",-5.51076442419346e-15
"10",-1.33601847933454e-14
"11",3.58051972091564e-15
"12",-5.96749509749694e-16
"13",-1.01723868465558e-14
"14",1.43051211601628e-14
"15",1.37246163157274e-14
"16",-9.12833051787742e-16
"17",-5.26047726403749e-15
"18",1.51306891326315e-14
"19",3.58343568622564e-15
"20",1.33133469109887e-14
"21",2.53609543453622e-15
"22",-5.74070751858041e-15
"23",-2.73474749289489e-15
"24",-1.32298663704952e-14
"25",-1.06394233074814e-14
"26",-8.27700260573137e-16
"27",1.25411761882183e-14
"28",-4.73063661192413e-15
"29",2.58180646023803e-15
"30",-6.18375244852059e-15
"31",-1.26114441638683e-14
"32",-8.05878513792631e-15
"33",7.30130977167198e-15
"34",1.39087247281801e-14
"35",-7.25618204842718e-15
"36",5.27926120294073e-15
"37",-4.07675286706909e-15
"38",-7.88069224021892e-15
"39",-1.50925815641575e-14
"40",4.1388409066657e-15
"41",7.77490647650674e-15
"42",-1.48317377133823e-14
"43",-6.84352726843779e-15
"44",-7.78687298705391e-15
"45",-4.65701125291583e-15
"46",1.31338228404823e-14
"47",-4.04580200455678e-15
"48",-1.18240594350436e-14
"49",6.98585114964333e-15
"50",1.95443538780425e-15
"51",-8.19089495478182e-15
"52",6.84417539480362e-16
"53",8.05948301413834e-15
"54",6.91831167055333e-15
"55",4.32552395233224e-15
"56",1.0249893745646e-14
"57",4.14399190935974e-16
"58",-1.22223155715867e-14
"59",-1.25767080911115e-14
"60",1.35059676363575e-14
"61",-1.24369206604404e-14
"62",-1.39011925194952e-16
"63",-5.00750738428428e-16
"64",5.56208785463362e-15
"65",-1.49568042300254e-14
"66",1.85126726128901e-16
"67",7.18760280441641e-15
"68",1.25790538554649e-14
"69",-1.37620240707091e-14
"70",1.31012163390141e-14
"71",-2.17327917267711e-17
"72",3.56085637379478e-15
"73",6.85140100523377e-15
"74",-1.27187590079339e-14
"75",-9.14297065938545e-16
"76",1.09278903046841e-15
"77",-1.35537749941518e-14
"78",1.38285167048616e-14
"79",-8.03778423515399e-15
"80",-8.30477854637759e-15
"81",-1.00754719352424e-14
"82",1.15146913501327e-14
"83",1.48799196409809e-14
"84",-5.79206415672373e-15
"85",-1.13182012531677e-14
"86",-3.98161801724471e-15
"87",-7.26048353906185e-15
"88",-6.92798000844554e-15
"89",-1.53508288266693e-14
"90",-1.19426689716393e-14
"91",8.20029031996264e-15
"92",5.95271168324164e-15
"93",4.57909833319365e-15
"94",-4.07962772590117e-16
"95",-2.80036126331546e-15
"96",-1.06337601178932e-14
"97",2.7021985937793e-15
"98",-1.04965252249214e-14
"99",7.09006786376937e-15
"100",2.60041515566523e-15
"101",-1.14657475265946e-15
"102",9.86059294767727e-16
"103",6.5400489367729e-15
"104",9.8867404482674e-15
"105",1.06428571294557e-14
"106",-2.20233227520464e-15
"107",-9.29470249333291e-15
"108",1.43516335855412e-14
"109",-1.05883373993827e-15
"110",4.6712951684814e-17
"111",-1.39957481344264e-14
"112",-7.6313178635779e-15
"113",-1.67768662907617e-15
"114",-1.20094563970902e-14
"115",-3.83733049238921e-15
"116",-1.05129424871607e-14
"117",1.04571905932248e-14
"118",8.82880779396757e-15
"119",-6.599045692453e-15
"120",1.13588669931642e-14
"121",1.25706123388437e-14
"122",6.92810507248492e-15
"123",1.52751812377352e-14
"124",2.63419198216414e-15
"125",1.4541699713187e-14
"126",-6.44891517404057e-15
"127",-1.34587431713473e-14
"128",7.99384341992273e-15
"129",9.80781741372885e-15
"130",5.60789069684989e-15
"131",-1.18945532592402e-14
"132",-4.67358022309689e-15
"133",1.07472849761927e-14
"134",-5.57380661474872e-15
"135",3.50959030810623e-15
"136",3.45086989759867e-15
"137",7.95951212631423e-18
"138",1.0833237816996e-14
"139",-2.6796881067573e-15
"140",-1.06216197952178e-14
"141",-2.76953702130835e-15
"142",-1.39970897167417e-14
"143",-1.72574415799773e-15
"144",1.08140008295572e-14
"145",-1.48542267533536e-14
"146",2.80405298989018e-15
"147",1.10086436257589e-14
"148",-1.99469643904205e-15
"149",7.6183901526112e-15
"150",3.52999671661897e-16
"151",1.10551365430016e-15
"152",-1.41717701350222e-14
"153",1.14939973219157e-14
"154",9.22798000276211e-15
"155",5.5553386416036e-15
"156",-3.97314933712512e-15
"157",1.14732935740593e-14
"158",-4.64871591772993e-15
"159",-3.73849197347932e-15
"160",-9.31522014855215e-15
"161",7.75024350784495e-15
"162",7.24393085523685e-16
"163",3.40191388815861e-15
"164",9.12061448253057e-15
"165",1.44952676222082e-14
"166",-1.23459291895907e-14
"167",2.25913878360794e-15
"168",1.10023826663301e-14
"169",-1.37537332734159e-14
"170",2.75664064427783e-15
"171",1.13353870004027e-14
"172",-1.18528692137155e-14
"173",1.25348989271058e-14
"174",1.03824123991826e-14
"175",1.31835380608873e-14
"176",4.13887334301641e-15
"177",7.59000215306482e-15
"178",1.12153077969317e-14
"179",-8.70284766658224e-15
"180",1.37365230815908e-15
"181",4.62494162309686e-15
"182",1.46604176964513e-15
"183",-9.49529651759046e-15
"184",-1.3267536969191e-14
"185",-4.66090862806826e-15
"186",8.75196903416373e-15
"187",-5.51983057730022e-15
"188",-1.25684309285085e-14
"189",7.67992108553881e-15
"190",-1.10913016965853e-14
"191",8.83270488670943e-16
"192",-1.83049365172871e-16
"193",-3.08562406845183e-15
"194",-9.76039050336371e-15
"195",-7.86341892023651e-15
"196",1.16043060792486e-15
"197",-1.38734579431674e-14
"198",-4.07979033565278e-15
"199",1.86468989783841e-15
"200",-9.9797457792558e-15
"201",-5.80836736122414e-15
"202",-6.2150665478948e-15
"203",-1.49723949254407e-14
"204",-1.39670634101743e-14
"205",-1.07963070213461e-14
"206",6.47552969530056e-15
"207",-1.15031401039836e-15
"208",-4.43657894838714e-16
"209",1.21886274159304e-14
"210",2.64238588541272e-15
"211",-2.35793797015143e-15
"212",-1.15742126277926e-14
"213",1.84291585538386e-15
"214",-7.06150268007772e-15
"215",-1.13496017484889e-14
"216",-6.62806966335948e-15
"217",-9.24277714923393e-15
"218",-6.34774267595852e-15
"219",-7.4292046952657e-15
"220",1.47810964869507e-14
"221",-1.18648745724579e-14
"222",-7.68011227319128e-16
"223",1.12729279824e-15
"224",1.33638840904038e-14
"225",-6.5597267140415e-15
"226",3.39835505351061e-16
"227",-5.15368812250324e-15
"228",-5.59530534715337e-15
"229",9.23398444621548e-15
"230",-1.28052285130906e-14
"231",-1.12453038185489e-14
"232",-1.19873489919624e-14
"233",-1.35076089720407e-15
"234",1.10896961612523e-14
"235",1.52607493966983e-15
"236",-1.50404318485064e-14
"237",8.7434467698053e-15
"238",1.65899369838891e-15
"239",5.66353283673572e-15
"240",-4.50584450039009e-16
"241",-1.17258502836194e-14
"242",1.85261584444424e-15
"243",9.97900928232308e-16
"244",-9.42486536532571e-15
"245",4.14448038696208e-15
"246",8.86661600086498e-15
"247",-1.53404296021356e-14
"248",1.06466805007135e-14
"249",-4.01059600062169e-15
"250",-3.5761691986512e-15
"251",1.53494183701136e-14
"252",1.5341052522555e-14
"253",-8.40157416148446e-15
"254",-6.98728660864971e-15
"255",5.5577231949628e-15
"256",2.5288005073421e-15
"257",-5.60902159192579e-15
"258",-5.5496889818178e-15
"259",9.0585273152602e-15
"260",-1.0340006050762e-14
"261",-6.42131595065217e-15
"262",-1.01027107748276e-14
"263",1.24616817946068e-14
"264",1.28553962442567e-14
