"","hub"
"1",1.16771882932692e-16
"2",8.61790937200213e-17
"3",-5.9582459802387e-17
"4",9.63165733508173e-18
"5",-7.62581935841543e-18
"6",6.55129694437588e-17
"7",1.0598751334314e-16
"8",-4.18551128651928e-17
"9",-4.18593367036198e-17
"10",-1.0154711267394e-16
"11",2.72000608469756e-17
"12",-4.52649862124462e-18
"13",-7.71269779112243e-17
"14",1.08401529782317e-16
"15",1.0444972695911e-16
"16",-6.9477811951469e-18
"17",-4.00708293899354e-17
"18",1.15082722037759e-16
"19",2.71891372670185e-17
"20",1.01034507280044e-16
"21",1.93157702028974e-17
"22",-4.37313857263941e-17
"23",-2.07650218041636e-17
"24",-1.008913432286e-16
"25",-8.06068476425531e-17
"26",-6.30624892927056e-18
"27",9.52652558313433e-17
"28",-3.5980601946592e-17
"29",1.96733816017778e-17
"30",-4.69854828349779e-17
"31",-9.56484487871295e-17
"32",-6.1328435541723e-17
"33",5.54687778488141e-17
"34",1.05566563351101e-16
"35",-5.51933640658907e-17
"36",3.99412997958253e-17
"37",-3.09683198488345e-17
"38",-5.99581998234767e-17
"39",-1.15117652158445e-16
"40",3.14793475626754e-17
"41",5.90393386990137e-17
"42",-1.13049945076962e-16
"43",-5.21305303381444e-17
"44",-5.92025680424693e-17
"45",-3.53641285634435e-17
"46",9.98713524442054e-17
"47",-3.07948169217765e-17
"48",-8.98878832348806e-17
"49",5.30367111685464e-17
"50",1.48851712774289e-17
"51",-6.23330892099011e-17
"52",5.18605183059972e-18
"53",6.10844996804559e-17
"54",5.26232556112611e-17
"55",3.2956026051662e-17
"56",7.78212416375671e-17
"57",3.15528727154685e-18
"58",-9.2798786885067e-17
"59",-9.56409349233499e-17
"60",1.02369820145459e-16
"61",-9.4498720635593e-17
"62",-1.06108148037497e-18
"63",-3.80104487703018e-18
"64",4.23187586455174e-17
"65",-1.13759118660802e-16
"66",1.4071011166203e-18
"67",5.45558019584696e-17
"68",9.56528579225068e-17
"69",-1.04443050305483e-16
"70",9.94005808306481e-17
"71",-1.65406657648888e-19
"72",2.69951369827949e-17
"73",5.19396492375392e-17
"74",-9.65798444076711e-17
"75",-6.93693642258465e-18
"76",8.30429797424335e-18
"77",-1.02796387551837e-16
"78",1.04744234338013e-16
"79",-6.12823715362139e-17
"80",-6.3068193494436e-17
"81",-7.65576803783992e-17
"82",8.74045892684274e-17
"83",1.13114489596352e-16
"84",-4.3889184698889e-17
"85",-8.61023742967177e-17
"86",-3.02459865952861e-17
"87",-5.51005236842062e-17
"88",-5.26420167035902e-17
"89",-1.16661115815982e-16
"90",-9.04152737856509e-17
"91",6.22996572301089e-17
"92",4.53216094882132e-17
"93",3.47979551446872e-17
"94",-3.10234388924372e-18
"95",-2.1238674255928e-17
"96",-8.09934944537696e-17
"97",2.04876227845981e-17
"98",-7.96193104188704e-17
"99",5.39641893531677e-17
"100",1.97544660519252e-17
"101",-8.701261079045e-18
"102",7.50912083246901e-18
"103",4.97349169033923e-17
"104",7.48513815418916e-17
"105",8.0940337360797e-17
"106",-1.67568987165509e-17
"107",-7.08419692602046e-17
"108",1.08857536759794e-16
"109",-8.08193405089943e-18
"110",3.53980055640289e-19
"111",-1.06064245651006e-16
"112",-5.82387762191871e-17
"113",-1.27775158426603e-17
"114",-9.11479952156948e-17
"115",-2.9165703026758e-17
"116",-7.9768080504038e-17
"117",7.94760865906001e-17
"118",6.70150461255891e-17
"119",-5.02376756859491e-17
"120",8.6225005868059e-17
"121",9.52435301751865e-17
"122",5.25216755084423e-17
"123",1.161855622422e-16
"124",2.00332999381075e-17
"125",1.10524848117233e-16
"126",-4.8854808273773e-17
"127",-1.02206199838149e-16
"128",6.07462373085181e-17
"129",7.484237474045e-17
"130",4.24665915903895e-17
"131",-9.04519520127412e-17
"132",-3.54916888375048e-17
"133",8.15354843888305e-17
"134",-4.23393515825608e-17
"135",2.66429696160442e-17
"136",2.62258334745147e-17
"137",6.05904272674293e-20
"138",8.23029621114967e-17
"139",-2.03706673938316e-17
"140",-8.08106084203278e-17
"141",-2.09911796154397e-17
"142",-1.0598323641657e-16
"143",-1.30974178323426e-17
"144",8.21670647941459e-17
"145",-1.1316436077805e-16
"146",2.13721188267064e-17
"147",8.36277445377471e-17
"148",-1.51873405195089e-17
"149",5.79051940473545e-17
"150",2.68307419883508e-18
"151",8.41016708996858e-18
"152",-1.0738595036254e-16
"153",8.74000249181127e-17
"154",7.02503642426477e-17
"155",4.21486526546775e-17
"156",-3.02191905028981e-17
"157",8.74906813336292e-17
"158",-3.54135191645875e-17
"159",-2.83742667633186e-17
"160",-7.07182606284414e-17
"161",5.89921008455191e-17
"162",5.50752792936839e-18
"163",2.58388520579789e-17
"164",6.92447701009663e-17
"165",1.10306088895123e-16
"166",-9.37591485479838e-17
"167",1.71606276809586e-17
"168",8.35412388782824e-17
"169",-1.04571094331961e-16
"170",2.09519562644861e-17
"171",8.62353197728764e-17
"172",-9.01737427187465e-17
"173",9.51607079774492e-17
"174",7.89218047489146e-17
"175",1.00591335042637e-16
"176",3.13972620232427e-17
"177",5.7793651440426e-17
"178",8.54604165595716e-17
"179",-6.62232589746756e-17
"180",1.04614443790171e-17
"181",3.52036307149656e-17
"182",1.11176018682332e-17
"183",-7.20695244256675e-17
"184",-1.00905015180454e-16
"185",-3.55002760250602e-17
"186",6.62063961870863e-17
"187",-4.19654355963717e-17
"188",-9.53107069423751e-17
"189",5.82801495768819e-17
"190",-8.41205201223487e-17
"191",6.69408253279288e-18
"192",-1.39076250226544e-18
"193",-2.34153732339036e-17
"194",-7.42512602669227e-17
"195",-5.96953230137132e-17
"196",8.82490672065428e-18
"197",-1.05026530735458e-16
"198",-3.09853913530295e-17
"199",1.42118985107668e-17
"200",-7.59279606667059e-17
"201",-4.41012907278649e-17
"202",-4.71327190231659e-17
"203",-1.13418222520619e-16
"204",-1.06015115073952e-16
"205",-8.20508696529211e-17
"206",4.91699935998993e-17
"207",-8.7743181204973e-18
"208",-3.36091347894287e-18
"209",9.23576595576504e-17
"210",2.01134453285458e-17
"211",-1.79616291358114e-17
"212",-8.78121985195114e-17
"213",1.40461098034855e-17
"214",-5.35944704855205e-17
"215",-8.63971822475437e-17
"216",-5.03175507695503e-17
"217",-7.02701561112427e-17
"218",-4.83912633532757e-17
"219",-5.64518178829471e-17
"220",1.1202281182174e-16
"221",-9.02985277472719e-17
"222",-5.83977023048211e-18
"223",8.59325180650313e-18
