"","hub"
"1",3.80877706323334e-18
"2",3.09973505387013e-18
"3",-2.02018976039035e-18
"4",3.62618496128202e-19
"5",-2.63997852788036e-19
"6",2.35227845297022e-18
"7",3.91788576370098e-18
"8",-1.7282044577802e-18
"9",-1.80273370045677e-18
"10",-3.68952220756198e-18
"11",9.33474936641501e-19
"12",-1.65673100180854e-19
"13",-2.37920377032132e-18
"14",4.14681323486692e-18
"15",3.58173132359275e-18
"16",-2.40178989780534e-19
"17",-1.64137695705688e-18
"18",3.94388659542168e-18
"19",1.06696119772112e-18
"20",3.65597775251254e-18
"21",7.21503440794168e-19
"22",-1.82371701035427e-18
"23",-8.04614016821937e-19
"24",-3.82320434153274e-18
"25",-3.17845475400003e-18
"26",-2.28867479027392e-19
"27",3.48174056649973e-18
"28",-1.38203636008748e-18
"29",6.14214888219943e-19
"30",-1.72171359036152e-18
"31",-3.61945098902925e-18
"32",-2.04495883507163e-18
"33",1.88702207059607e-18
"34",3.62810751930108e-18
"35",-2.34967739060427e-18
"36",1.5345369006636e-18
"37",-1.13411267297461e-18
"38",-2.01556548146047e-18
"39",-3.91611638594143e-18
"40",1.23598547545466e-18
"41",1.98131662155462e-18
"42",-4.1872923805421e-18
"43",-1.78385564551177e-18
"44",-1.96618478063811e-18
"45",-1.29462531661068e-18
"46",3.65604306887e-18
"47",-1.12329703941536e-18
"48",-3.42059869223041e-18
"49",2.00979798414771e-18
"50",5.2473203345952e-19
"51",-2.30518726395022e-18
"52",1.97434944327755e-19
"53",2.43781858430133e-18
"54",1.9941969954989e-18
"55",1.1404230572718e-18
"56",2.54800462960154e-18
"57",1.19314302348818e-19
"58",-3.53340230048312e-18
"59",-3.53708113668248e-18
"60",4.39913957528333e-18
"61",-3.56526579856521e-18
"62",-4.19262294663368e-20
"63",-1.31111847208286e-19
"64",1.70067300763033e-18
"65",-3.75637612521033e-18
"66",5.21041867697539e-20
"67",2.03457925844601e-18
"68",3.43768590100863e-18
"69",-3.80884636780737e-18
"70",4.24324898707438e-18
"71",-5.80508299438486e-21
"72",9.70881312564447e-19
"73",1.85247095235171e-18
"74",-3.36861119890797e-18
"75",-2.26458518646286e-19
"76",3.09556207254517e-19
"77",-3.93981967444714e-18
"78",3.34162719209871e-18
"79",-2.24948169913027e-18
"80",-2.06775182567901e-18
"81",-2.63186875388486e-18
"82",3.56441384601997e-18
"83",3.46430647562053e-18
"84",-1.65023076146053e-18
"85",-3.27253468765156e-18
"86",-1.051516115383e-18
"87",-2.20550124067801e-18
"88",-1.91992487413766e-18
"89",-4.04114272168848e-18
"90",-2.99721226374955e-18
"91",2.34101227046816e-18
"92",1.63352073345667e-18
"93",1.36518185810943e-18
"94",-9.13299012075083e-20
"95",-7.08931508894842e-19
"96",-3.08739115830227e-18
"97",7.78739029656482e-19
"98",-3.25167552159318e-18
"99",1.98936157420415e-18
"100",7.73166793860093e-19
"101",-3.24335132410279e-19
"102",2.57432978978333e-19
"103",1.75769151533871e-18
"104",3.16416981071533e-18
"105",3.22877014811645e-18
"106",-6.47917885319086e-19
"107",-2.35747069233216e-18
"108",4.46676823357874e-18
"109",-2.48935284696692e-19
