"","hub"
"1",6.82662339337981e-15
"2",5.03098887859407e-15
"3",-3.4898619039932e-15
"4",5.64606696361978e-16
"5",-4.47417915355327e-16
"6",3.8374780215873e-15
"7",6.18459063008359e-15
"8",-2.44215043510443e-15
"9",-2.44813227700355e-15
"10",-5.93523971791499e-15
"11",1.59064289734706e-15
"12",-2.65104502253104e-16
"13",-4.5188227124967e-15
"14",6.35482595679919e-15
"15",6.09696512730043e-15
"16",-4.0553206869074e-16
"17",-2.33692045885991e-15
"18",6.72183267606399e-15
"19",1.59176989665097e-15
"20",5.91447753981795e-15
"21",1.12663912248982e-15
"22",-2.55020958229407e-15
"23",-1.21487919800087e-15
"24",-5.87717513558513e-15
"25",-4.72645197570985e-15
"26",-3.67692908792947e-16
"27",5.5712614568345e-15
"28",-2.10169691579489e-15
"29",1.14691234852524e-15
"30",-2.74693781589688e-15
"31",-5.60228975291546e-15
"32",-3.5798732599489e-15
"33",3.24357329635915e-15
"34",6.17885517030251e-15
"35",-3.22338135460249e-15
"36",2.34535213453203e-15
"37",-1.81099285880797e-15
"38",-3.50081450904771e-15
"39",-6.7043691214746e-15
"40",1.83867705188506e-15
"41",3.45375382920151e-15
"42",-6.58911060385804e-15
"43",-3.04010522782849e-15
"44",-3.4592747362183e-15
"45",-2.06885384773092e-15
"46",5.83423016335982e-15
"47",-1.79730196950205e-15
"48",-5.25272294433394e-15
"49",3.10338581130926e-15
"50",8.6821706857741e-16
"51",-3.63848536025876e-15
"52",3.04059499267906e-16
"53",3.58046222898781e-15
"54",3.07334959924413e-15
"55",1.9215706281191e-15
"56",4.55335833691212e-15
"57",1.84079779155422e-16
"58",-5.42947513675897e-15
"59",-5.58742257652084e-15
"60",6.00009474794657e-15
"61",-5.52486215463121e-15
"62",-6.17538508748839e-17
"63",-2.22446605537466e-16
"64",2.47109715467388e-15
"65",-6.64424908736764e-15
"66",8.2241443062283e-17
"67",3.19319603108155e-15
"68",5.58783665628986e-15
"69",-6.11393170184205e-15
"70",5.81995593154368e-15
"71",-9.65449616093599e-18
"72",1.58192133898026e-15
"73",3.04368675130289e-15
"74",-5.65020184527101e-15
"75",-4.06157684895585e-16
"76",4.85478829388136e-16
"77",-6.02092928087438e-15
"78",6.14324778441301e-15
"79",-3.57072309856236e-15
"80",-3.68926991524799e-15
"81",-4.47602724864761e-15
"82",5.1152551321573e-15
"83",6.61024477030617e-15
"84",-2.57305092920481e-15
"85",-5.02804395830088e-15
"86",-1.76877711034459e-15
"87",-3.2253397136045e-15
"88",-3.07772990882427e-15
"89",-6.819476248947e-15
"90",-5.30552832645661e-15
"91",3.64280176889386e-15
"92",2.64452480983058e-15
"93",2.03425098555452e-15
"94",-1.81237202900086e-16
"95",-1.24405144442722e-15
"96",-4.72383816485728e-15
"97",1.20046003326996e-15
"98",-4.66288930626528e-15
"99",3.14963873121588e-15
"100",1.1552005489429e-15
"101",-5.09324695565655e-16
"102",4.3804384984525e-16
"103",2.90543036549195e-15
"104",4.39181206002708e-15
"105",4.72811160235741e-15
"106",-9.78300437922376e-16
"107",-4.12911570290854e-15
"108",6.37553362829839e-15
"109",-4.70368653677879e-16
"110",2.07521481819891e-17
"111",-6.21732065184641e-15
"112",-3.39020912151192e-15
"113",-7.45278847220903e-16
"114",-5.33498674737518e-15
"115",-1.70471876774888e-15
"116",-4.67026947117495e-15
"117",4.64538249221874e-15
"118",3.92181460341274e-15
"119",-2.93157775470298e-15
"120",5.04621567067165e-15
"121",5.58454343790893e-15
"122",3.07777502078025e-15
"123",6.78569998024237e-15
"124",1.17022733439121e-15
"125",6.46008654844725e-15
"126",-2.86478607251201e-15
"127",-5.97914712844362e-15
"128",3.55104625459417e-15
"129",4.35709855974855e-15
"130",2.4913430246825e-15
"131",-5.28379846547378e-15
"132",-2.07617713140465e-15
"133",4.7742771080468e-15
"134",-2.47605625776308e-15
"135",1.55898721486961e-15
"136",1.53302294524158e-15
"137",3.53577129426693e-18
"138",4.81244853296703e-15
"139",-1.1904099480994e-15
"140",-4.71849288992529e-15
"141",-1.23035829052636e-15
"142",-6.21810923918075e-15
"143",-7.66622941741527e-16
"144",4.80413826466793e-15
"145",-6.59907915267074e-15
"146",1.24563642748817e-15
"147",4.89066897314612e-15
"148",-8.86118156774986e-16
"149",3.38433681622241e-15
"150",1.56821115138335e-16
"151",4.91109292238331e-16
"152",-6.29616310372714e-15
"153",5.10598380401116e-15
"154",4.09945539401568e-15
"155",2.46792110437327e-15
"156",-1.76505341111495e-15
"157",5.09681588105679e-15
"158",-2.06528269467629e-15
"159",-1.6608005203876e-15
"160",-4.13821482223668e-15
"161",3.44284195767835e-15
"162",3.21777073080068e-16
"163",1.51128175359174e-15
"164",4.05185367706485e-15
"165",6.43934508410241e-15
"166",-5.48453722036441e-15
"167",1.00359292281311e-15
"168",4.88780928058138e-15
"169",-6.11001124940695e-15
"170",1.22455603197058e-15
"171",5.03563055769973e-15
"172",-5.26560407410264e-15
"173",5.56825341109765e-15
"174",4.61229105611342e-15
"175",5.85673050744209e-15
"176",1.8386387786364e-15
"177",3.37168870924831e-15
"178",4.98222714121386e-15
"179",-3.86604474619454e-15
"180",6.10226687843737e-16
"181",2.05462868385898e-15
"182",6.51293510563294e-16
"183",-4.21835707302333e-15
"184",-5.89403936674567e-15
"185",-2.07053279286314e-15
"186",3.88783587342338e-15
"187",-2.45215450949835e-15
"188",-5.5835101322433e-15
"189",3.4116588863727e-15
"190",-4.9271664448783e-15
"191",3.92374832886706e-16
"192",-8.13195608182736e-17
"193",-1.37074516336586e-15
"194",-4.33595909874016e-15
"195",-3.49318562186724e-15
"196",5.15510424689539e-16
"197",-6.16288932522336e-15
"198",-1.81242620062308e-15
"199",8.28368051313562e-16
"200",-4.43330672742503e-15
"201",-2.58033532863137e-15
"202",-2.7609804607877e-15
"203",-6.65133967073939e-15
"204",-6.2045169467533e-15
"205",-4.79638752691964e-15
"206",2.8767636445945e-15
"207",-5.11021960788624e-16
"208",-1.97083295975788e-16
"209",5.414554071998e-15
"210",1.17384807329679e-15
"211",-1.04745306608997e-15
"212",-5.14193209975531e-15
"213",8.18703150279689e-16
"214",-3.13688918050639e-15
"215",-5.04194680623557e-15
"216",-2.94446775583693e-15
"217",-4.10595372600342e-15
"218",-2.82012581877591e-15
"219",-3.30041782157468e-15
"220",6.5667106387422e-15
"221",-5.27088431286303e-15
"222",-3.41167351490457e-16
"223",5.00803817692689e-16
"224",5.9366903851158e-15
"225",-2.91404393562354e-15
"226",1.5096902114324e-16
"227",-2.28948191289897e-15
"228",-2.48570991408504e-15
"229",4.10230943876573e-15
"230",-5.68863573340907e-15
"231",-4.99588612561857e-15
"232",-5.32503867412959e-15
"233",-6.00039778242645e-16
"234",4.92621777101618e-15
"235",6.77940203832352e-16
"236",-6.68179960208211e-15
"237",3.88413594225188e-15
"238",7.36995510464785e-16
"239",2.51589723465598e-15
"240",-2.00158136801638e-16
"241",-5.20884154128725e-15
"242",8.23022153216962e-16
"243",4.43307996377795e-16
"244",-4.18714432522674e-15
"245",1.8410927801594e-15
"246",3.93882785734785e-15
"247",-6.81453793836003e-15
"248",4.72949145262744e-15
"249",-1.7817322623381e-15
"250",-1.58857841213556e-15
"251",6.81860306178512e-15
"252",6.81486567358575e-15
"253",-3.73239764683703e-15
"254",-3.10387372483275e-15
"255",2.46898582370548e-15
"256",1.12346988578422e-15
"257",-2.49183430931061e-15
"258",-2.46541234822576e-15
"259",4.02437024967679e-15
"260",-4.59341715656395e-15
"261",-2.85242215917552e-15
"262",-4.4882369493666e-15
"263",5.53592877056914e-15
"264",5.71107902557415e-15
"265",-3.60453071069573e-15
"266",-1.76913939954988e-15
