"","hub"
"1",3.42248299151994e-17
"2",2.48574424907785e-17
"3",-1.75597091686344e-17
"4",2.76492461862592e-18
"5",-2.18894414876836e-18
"6",1.91171653201443e-17
"7",3.05076094686765e-17
"8",-1.21610877707332e-17
"9",-1.22210689815527e-17
"10",-2.92734788300264e-17
"11",7.6672308126637e-18
"12",-1.29702777565462e-18
"13",-2.25188091210046e-17
"14",3.09561308929146e-17
"15",3.02717529339081e-17
"16",-2.04554514262704e-18
"17",-1.14420272456934e-17
"18",3.34513302713774e-17
"19",8.06736330518853e-18
"20",2.95456995209872e-17
"21",5.50849033999153e-18
"22",-1.26585019922174e-17
"23",-5.99833885005552e-18
"24",-2.87658945961863e-17
"25",-2.37433326440802e-17
"26",-1.80689612389131e-18
"27",2.74015199505677e-17
"28",-1.04404314289226e-17
"29",5.67742498328539e-18
"30",-1.35996639795551e-17
"31",-2.74249511069128e-17
"32",-1.79879786314461e-17
"33",1.58919132868693e-17
"34",3.07633901634607e-17
"35",-1.55368795258394e-17
"36",1.16332288521353e-17
"37",-8.93863595341861e-18
"38",-1.71675061821698e-17
"39",-3.33179394374768e-17
"40",9.09707450642663e-18
"41",1.70061053097884e-17
"42",-3.23092782861029e-17
"43",-1.51192277470369e-17
"44",-1.74344945856068e-17
"45",-1.01269001566507e-17
"46",2.81903834161996e-17
"47",-8.89331896376813e-18
"48",-2.55122804901483e-17
"49",1.53704824441161e-17
"50",4.22447807966858e-18
"51",-1.77484509978246e-17
"52",1.52639338853555e-18
"53",1.74434093626421e-17
"54",1.52763985520712e-17
"55",9.39216493627083e-18
"56",2.24306243455742e-17
"57",9.03759605625095e-19
"58",-2.69038905992381e-17
"59",-2.72506142599349e-17
"60",2.93403377260191e-17
"61",-2.74266524615789e-17
"62",-3.02843644159606e-19
"63",-1.120223714916e-18
"64",1.2093098010484e-17
"65",-3.23654296097815e-17
"66",4.02688078316292e-19
"67",1.59599358969265e-17
"68",2.76801652911765e-17
"69",-2.9870108123226e-17
"70",2.84897532422969e-17
"71",-4.72697515974357e-20
"72",7.81538848355932e-18
"73",1.50002245638581e-17
"74",-2.82808045545166e-17
"75",-2.04132304429942e-18
"76",2.38405863968144e-18
"77",-2.98402447939852e-17
"78",3.06381152755668e-17
"79",-1.77444726196156e-17
"80",-1.84470419867523e-17
"81",-2.25203855674375e-17
"82",2.52680854782716e-17
"83",3.2067960563251e-17
"84",-1.29237778023976e-17
"85",-2.46710382257594e-17
"86",-8.49630039532562e-18
"87",-1.57310396014517e-17
"88",-1.50341726093128e-17
"89",-3.37046649214752e-17
"90",-2.60566962107676e-17
"91",1.81262044492647e-17
"92",1.29951062136009e-17
"93",1.00282732388479e-17
"94",-9.04529520068004e-19
"95",-6.09596198328192e-18
"96",-2.322417726323e-17
"97",5.81604978803661e-18
"98",-2.29406834998137e-17
"99",1.56681642646509e-17
"100",5.74779281554159e-18
"101",-2.4715960507999e-18
"102",2.16144986458753e-18
"103",1.41254293936534e-17
"104",2.17252407479008e-17
"105",2.30804301185722e-17
"106",-4.8126906654949e-18
"107",-2.00325457102913e-17
"108",3.15497775005243e-17
"109",-2.30068441901476e-18
"110",1.04123779400057e-19
"111",-3.02837510102187e-17
"112",-1.7015464454096e-17
"113",-3.755953759042e-18
"114",-2.62362510648736e-17
"115",-8.3598437862612e-18
"116",-2.33258095482313e-17
"117",2.34736108646449e-17
"118",1.95200906339581e-17
"119",-1.46248009232718e-17
"120",2.47388976763524e-17
"121",2.73505200764983e-17
"122",1.5232544622846e-17
"123",3.30900116985211e-17
"124",5.68115708630145e-18
"125",3.20433503324036e-17
"126",-1.39151961866369e-17
"127",-2.93285113670277e-17
"128",1.74388949924915e-17
"129",2.13511324146407e-17
"130",1.22646829400871e-17
"131",-2.59974487176835e-17
"132",-1.02821573079386e-17
"133",2.33667288386546e-17
"134",-1.22021620129862e-17
"135",7.57835063401482e-18
"136",7.5767636398078e-18
"137",1.78615324772338e-20
"138",2.38051501997053e-17
"139",-5.92165193942756e-18
"140",-2.32318243164378e-17
"141",-6.04348320143113e-18
"142",-3.11560142705724e-17
"143",-3.81464686438217e-18
"144",2.39289622987695e-17
"145",-3.33094586238339e-17
"146",6.10310621366356e-18
"147",2.35565962704284e-17
"148",-4.35635894071321e-18
"149",1.68187227408338e-17
"150",7.71152058941639e-19
"151",2.44845317405564e-18
"152",-3.10024330275753e-17
"153",2.45701348698109e-17
"154",1.97752308234757e-17
"155",1.21833637412571e-17
"156",-8.62753278195718e-18
"157",2.51893333086576e-17
"158",-1.04323261760499e-17
"159",-8.14621914871564e-18
"160",-1.98455530533959e-17
"161",1.71254813403912e-17
"162",1.55116728151469e-18
"163",7.59195051845324e-18
"164",2.00181799866093e-17
"165",3.15304838880416e-17
"166",-2.67693743009234e-17
"167",5.09909823646454e-18
"168",2.4168657834644e-17
"169",-3.03317216399317e-17
