"","authority"
"1",1.7936093123237e-16
"2",1.3218904545821e-16
"3",-9.15517628265007e-17
"4",1.47695380234981e-17
"5",-1.17049076210456e-17
"6",1.00795950089421e-16
"7",1.62282496599848e-16
"8",-6.40898942076581e-17
"9",-6.41965066738833e-17
"10",-1.56097086049522e-16
"11",4.16779634241883e-17
"12",-6.95582168459862e-18
"13",-1.18039659489237e-16
"14",1.67069705391477e-16
"15",1.60011858746454e-16
"16",-1.06503907471895e-17
"17",-6.12069618743022e-17
"18",1.76070646827192e-16
"19",4.18044392715261e-17
"20",1.55932771953586e-16
"21",2.94376228932479e-17
"22",-6.68875243678263e-17
"23",-3.18261053021323e-17
"24",-1.54238233542735e-16
"25",-1.24185699637334e-16
"26",-9.65729305713394e-18
"27",1.45676665528832e-16
"28",-7.57503371461864e-07
"29",3.00822470330652e-17
"30",-7.19568256300309e-17
"31",-1.46803254867728e-16
"32",-9.37905653758327e-17
"33",8.49560725215761e-17
"34",1.62178425542351e-16
"35",-8.45482801442368e-17
"36",6.17738029490024e-17
"37",-4.76621380227442e-17
"38",-9.18974270221353e-17
"39",-1.75523297049496e-16
"40",-4.22246700327469e-14
"41",9.05138838646643e-17
"42",-1.72905789198293e-16
"43",-7.9803826349221e-17
"44",-0.00168388501467692
"45",-5.44197281832839e-17
"46",-0.00168388501467667
"47",-4.70594595005519e-17
"48",-1.37159758805707e-16
"49",8.14913139966225e-17
"50",2.27887587666231e-17
"51",-9.54510377952045e-17
"52",7.98022726087651e-18
"53",9.38920422716045e-17
"54",8.07411363625711e-17
"55",5.05230425105112e-17
"56",1.19618955306658e-16
"57",4.84475748989817e-18
"58",-1.42923610946606e-16
"59",-1.46415392604621e-16
"60",1.5784880140002e-16
"61",-1.45152848577948e-16
"62",-1.62145525565249e-18
"63",-5.84194367948382e-18
"64",6.49164322469027e-17
"65",-1.74003023797928e-16
"66",2.15497568766491e-18
"67",8.38502347329233e-17
"68",1.46418978583797e-16
"69",-1.60030392847773e-16
"70",1.5284805253015e-16
"71",-2.54367939797438e-19
"72",4.14658228746748e-17
"73",8.00001241139356e-17
"74",-1.48212361920095e-16
"75",-1.06166442380535e-17
"76",1.27170961082105e-17
"77",-1.58195007984629e-16
"78",1.6093269410321e-16
"79",-9.3312482447917e-17
"80",-9.66752820948448e-17
"81",-1.16986949905106e-16
"82",1.33986814453449e-16
"83",1.73067551123836e-16
"84",-6.73363741593339e-17
"85",-1.31784888618607e-16
"86",-4.65064232960171e-17
"87",-8.44208955669343e-17
"88",-8.08559643549544e-17
"89",-1.78576535498361e-16
"90",-1.3929272046604e-16
"91",9.53680125610741e-17
"92",6.94165891211033e-17
"93",5.33662725087413e-17
"94",-4.75457035478779e-18
"95",-3.25913769234193e-17
"96",-1.23987200897332e-16
"97",3.14816640275934e-17
"98",-1.22334207760322e-16
"99",8.26746441099119e-17
"100",3.03444959908512e-17
"101",-1.33684458522288e-17
"102",1.14687435889918e-17
"103",7.59678420338173e-17
"104",1.15217780089645e-16
"105",1.2412771059773e-16
"106",-2.56827679038008e-17
"107",-1.08714128490175e-16
"108",1.67381652299921e-16
"109",-1.23135960337202e-17
"110",5.44922622880723e-19
"111",-1.63314703253869e-16
"112",-8.86602831813107e-17
"113",-1.95409999988003e-17
"114",-1.39723238265255e-16
"115",-4.48237754095447e-17
"116",-1.22439041346936e-16
"117",1.22173255621085e-16
"118",1.02822929572934e-16
"119",-7.68338560821877e-17
"120",1.32343477875598e-16
"121",1.45946133084188e-16
"122",8.08876109471072e-17
"123",1.77933562996901e-16
"124",3.07690768000968e-17
"125",1.70000210381024e-16
"126",-7.52878729864103e-17
"127",-1.56676227559113e-16
"128",9.29763829756345e-17
"129",1.14086036795851e-16
"130",6.55439455484245e-17
"131",-1.38666523049801e-16
"132",-5.4468880443694e-17
"133",1.25122053119857e-16
"134",-6.48440561113644e-17
"135",4.08637753847764e-17
"136",4.00879497385985e-17
"137",9.28456747816363e-20
"138",1.26486298007829e-16
"139",-3.12321226744739e-17
"140",-1.23757987666333e-16
"141",-3.22488223033808e-17
"142",-1.63046311473406e-16
"143",-2.01265102335231e-17
"144",1.25933070574947e-16
"145",-1.73055288441093e-16
"146",3.2700653862863e-17
"147",1.28279263351052e-16
"148",-9.75522453519349e-05
"149",8.87749330390173e-17
"150",4.1189562623106e-18
"151",1.28793819421551e-17
"152",-1.65675981106595e-16
"153",-1.57773437423659e-07
"154",1.07753451249611e-16
"155",6.47146163760463e-17
"156",-4.63700731957299e-17
"157",1.3380441203546e-16
"158",-5.41987089275282e-17
"159",-4.35278293622731e-17
"160",-1.08495016838302e-16
"161",9.01318188225756e-17
"162",8.45179054793123e-18
"163",3.97090428573837e-17
"164",1.06453217319779e-16
"165",1.68879334414934e-16
"166",-1.44062194456575e-16
"167",2.63378324629643e-17
"168",1.28356427773151e-16
"169",-1.6030911694272e-16
"170",3.21332897055729e-17
"171",1.31987320495295e-16
"172",-1.38046224212414e-16
"173",1.46055692257673e-16
"174",1.20595249814402e-16
"175",1.53434910997376e-16
"176",4.80709936871621e-17
"177",8.83511520457531e-17
"178",-3.32844358571987e-06
"179",-1.01267632205112e-16
"180",1.60541123875966e-17
"181",5.3751471768158e-17
"182",-8.07510468924506e-15
"183",-1.1073732010152e-16
"184",-1.54660150313659e-16
"185",-5.4382401779423e-17
"186",1.016436337879e-16
"187",-6.42471883075622e-17
"188",-1.46241289397029e-16
"189",8.91189104675686e-17
"190",-1.29310076328497e-16
"191",1.03101549871146e-17
"192",-2.13097450439232e-18
"193",-3.60077187626812e-17
"194",-1.13490859784185e-16
"195",-9.16574491063585e-17
"196",1.34876228088325e-17
"197",-1.6171316435983e-16
"198",-4.76813906535533e-17
"199",2.18181552569026e-17
"200",-1.16109651378928e-16
"201",-1.20153833211786e-05
"202",-1.30215584108386e-07
"203",-1.74238753251298e-16
"204",-1.62751941984002e-16
"205",-1.25264550709358e-16
"206",7.52889561804828e-17
"207",-1.33794502459452e-17
"208",-5.16440453270432e-18
"209",1.42379987779045e-16
"210",3.07615780274928e-17
"211",-2.74693508297507e-17
"212",-1.34641513167605e-16
"213",2.14741071206028e-17
"214",-8.26438343812359e-17
"215",-1.32194538405709e-16
"216",-7.71308037400564e-17
"217",-1.08088378533147e-16
"218",-7.38656362203932e-17
"219",-8.64381863447166e-17
"220",1.72000876254101e-16
"221",-1.37980208628816e-16
"222",-8.9546727283005e-18
"223",1.31662155913045e-17
"224",1.55742327828107e-16
"225",-7.65583750326707e-17
"226",3.95228898886013e-18
"227",-6.00510126081431e-17
"228",-6.5165426741589e-17
"229",1.07901828140911e-16
"230",-1.49091520482924e-16
"231",-1.30757057534811e-16
"232",-1.3930538967169e-16
"233",-1.57200266459639e-17
"234",1.29060323803568e-16
"235",1.7840034345593e-17
"236",-1.75153593000375e-16
"237",1.02549715531567e-16
"238",1.93594876705249e-17
"239",6.60773625766626e-17
"240",-5.25074892385221e-18
"241",-2.70775266587516e-05
"242",2.15456659523839e-17
"243",1.16295271895585e-17
"244",-1.09972401562408e-16
"245",4.82014635139538e-17
"246",1.03185046556059e-16
"247",-1.78871344513729e-16
"248",1.23988455909006e-16
"249",-4.66784714166994e-17
"250",-4.16243734546952e-17
"251",1.78754737944097e-16
"252",1.78214209740266e-16
"253",-9.77512295351492e-17
"254",-8.12356009820371e-17
"255",6.47404906464298e-17
"256",2.94093262212365e-17
"257",-6.54127411784883e-17
"258",-6.4616319837895e-17
"259",1.05597675329761e-16
"260",-1.19968348514747e-16
"261",-2.85003226105381e-05
"262",-1.17594163095932e-16
"263",1.45428658434741e-16
"264",1.49600308262078e-16
"265",-9.45031725947916e-17
"266",-4.65814534860674e-17
"267",1.02544903418972e-16
"268",-3.25092349335973e-14
"269",-0.000311780429934659
"270",-1.8039624462504e-07
"271",-1.61895932778021e-16
"272",-1.60648187604422e-16
"273",3.95401396706242e-17
"274",8.26686223893736e-17
"275",-6.90451634417426e-17
"276",7.73374782323175e-17
"277",-9.91022053792601e-17
"278",-1.01575704315316e-16
"279",2.77658279465975e-17
"280",7.80721343697493e-17
"281",-0.000354406579762684
"282",1.75035646135889e-16
"283",1.10360738750454e-16
"284",-1.73034882566804e-16
"285",9.13576619155761e-17
"286",-1.14450683997369e-16
"287",1.30414765750143e-16
"288",3.65058669561447e-17
"289",-3.6286200185573e-17
"290",1.15857833534575e-16
"291",-1.17331407613031e-16
"292",1.23068796802289e-16
"293",-1.74616794113258e-16
