"","authority"
"1",1.46492271932711e-16
"2",1.07514461007493e-16
"3",-7.47067962514194e-17
"4",1.21075638274592e-17
"5",-9.56889598293339e-18
"6",8.20561806469929e-17
"7",1.32713682447614e-16
"8",-5.23874441186939e-17
"9",-5.25118801917632e-17
"10",-1.26937933408915e-16
"11",3.40398171737878e-17
"12",-5.67527278655114e-18
"13",-9.67690364714098e-17
"14",1.35970122765937e-16
"15",1.30667507429323e-16
"16",-8.68639667301829e-18
"17",-5.00299758242232e-17
"18",1.43800340198457e-16
"19",3.40532361724657e-17
"20",1.26345132890863e-16
"21",2.41486637264723e-17
"22",-5.45890102497708e-17
"23",-2.6054713104185e-17
"24",-1.25798935337175e-16
"25",-1.01545052396496e-16
"26",-7.87835438261271e-18
"27",1.1902408473995e-16
"28",-2.80899611379556e-06
"29",2.45492494215003e-17
"30",-5.88551585170785e-17
"31",-1.19886575686893e-16
"32",-7.65797879447708e-17
"33",6.9544265674653e-17
"34",1.32160753514997e-16
"35",-6.89411302534217e-17
"36",5.03607047635185e-17
"37",-3.88336212730494e-17
"38",-7.49468331891025e-17
"39",-1.438710060198e-16
"40",-7.25753659319165e-16
"41",7.39225543713934e-17
"42",-1.41447746884481e-16
"43",-6.49760018326232e-17
"44",-2.69614395786838e-06
"45",-4.43658920768222e-17
"46",-2.69614395766967e-06
"47",-3.83982463235327e-17
"48",-1.12613468737351e-16
"49",6.64303130211269e-17
"50",1.86249110723521e-17
"51",-7.79978505660307e-17
"52",-0.000192332919878592
"53",7.68377499530737e-17
"54",6.58089115709132e-17
"55",4.10520592764324e-17
"56",9.76054250778496e-17
"57",3.93697834189646e-18
"58",-1.16018647602945e-16
"59",-1.19694508725378e-16
"60",1.28560425726182e-16
"61",-1.18123893476001e-16
"62",-1.32392435633386e-18
"63",-4.76029868531604e-18
"64",5.28526144277667e-17
"65",-1.42066187989542e-16
"66",1.76151705388216e-18
"67",6.84845000538842e-17
"68",1.19806102590203e-16
"69",-1.309043493713e-16
"70",1.24449001088579e-16
"71",-2.06715137468249e-19
"72",3.38593911133925e-17
"73",6.50626689269603e-17
"74",-1.21549742699666e-16
"75",-8.68546144556722e-18
"76",1.03768600546003e-17
"77",-5.75339554279117e-06
"78",1.31630124945054e-16
"79",-7.65685900550183e-17
"80",-7.89386973328137e-17
"81",-9.57884832781216e-17
"82",1.09600680922895e-16
"83",1.41616895326354e-16
"84",-5.52045863424099e-17
"85",-1.07777269941797e-16
"86",-3.7848625383574e-17
"87",-6.90177580903003e-17
"88",-6.57550107306561e-17
"89",-1.46098705389768e-16
"90",-1.13624758532779e-16
"91",7.78226642597358e-17
"92",5.6782250430933e-17
"93",4.35699279765191e-17
"94",-3.8801494330979e-18
"95",-2.66336163571018e-17
"96",-1.01468280622668e-16
"97",2.57347579316313e-17
"98",-9.98387729829674e-17
"99",6.73830280985417e-17
"100",2.47122130533064e-17
"101",-1.09048337823087e-17
"102",9.37534926908719e-18
"103",6.20754804488579e-17
"104",9.41662539554213e-17
"105",1.01517052680094e-16
"106",-2.09251023616655e-17
"107",-8.84207577570033e-17
"108",1.36455567522533e-16
"109",-1.00754341284242e-17
"110",4.44434224104269e-19
"111",-1.33379837105507e-16
"112",-7.27108309676852e-17
"113",-1.59904455353417e-17
"114",-1.14389019686833e-16
"115",-0.000107691747174713
"116",-1.00257347357326e-16
"117",9.94213414863162e-17
"118",8.39496918082352e-17
"119",-6.27442701454808e-17
"120",1.07823725380724e-16
"121",1.19518758274962e-16
"122",6.5853176633965e-17
"123",1.45474612785399e-16
"124",2.50690262003103e-17
"125",1.38567190915636e-16
"126",-6.13285790516126e-17
"127",-1.2811202567034e-16
"128",7.59734477195097e-17
"129",9.32827951231935e-17
"130",5.35065031890543e-17
"131",-1.13198053933871e-16
"132",-4.44971430836124e-17
"133",-0.000161920916492024
"134",-5.30105213924566e-17
"135",3.33178522105404e-17
"136",3.28216993610803e-17
"137",7.56454224024292e-20
"138",1.03150410445271e-16
"139",-2.55525150564398e-17
"140",-1.01252227920429e-16
"141",-2.63219525010966e-17
"142",-1.33146362656909e-16
"143",-1.63893865917238e-17
"144",-1.11337822867196e-05
"145",-4.36566297462324e-06
"146",2.66088118324999e-17
"147",1.04604939669532e-16
"148",-2.14039963445544e-05
"149",-0.000136476064054944
"150",3.35540304302047e-18
"151",1.05223998327607e-17
"152",-1.34708722651068e-16
"153",-8.2948674763013e-08
"154",8.80862384180064e-17
"155",5.30480683242839e-17
"156",-3.77405722508706e-17
"157",1.09406815912799e-16
"158",-4.42121646432157e-17
"159",-3.55292068227727e-17
"160",-5.46673705333133e-08
"161",7.37749878023404e-17
"162",6.90223583890729e-18
"163",-4.91914923201927e-07
"164",8.66457872055375e-17
"165",1.38034184991052e-16
"166",-1.17238588087697e-16
"167",2.15166663595024e-17
"168",1.04482540636323e-16
"169",-1.30708636952043e-16
"170",2.62649905286537e-17
"171",1.07639899393064e-16
"172",-1.12828699004598e-16
"173",1.19078438451546e-16
"174",9.86391663040586e-17
"175",1.25417030865119e-16
"176",3.93510721487925e-17
"177",7.21947475737695e-17
"178",-1.19707277130868e-07
"179",-8.27438306686373e-17
"180",-1.65195800253612e-05
"181",4.39548890677588e-17
"182",-9.09842342916334e-09
"183",-9.04499374893935e-17
"184",-1.26408338182237e-16
"185",-4.42549472738167e-17
