"","authority"
"1",1.60250497965902e-16
"2",1.17993049080374e-16
"3",-8.17117749734116e-17
"4",1.32410944025078e-17
"5",-1.04856014261048e-17
"6",8.99655568097793e-17
"7",1.45217592900849e-16
"8",-5.72362745975043e-17
"9",-5.74659894207566e-17
"10",-1.38843493780414e-16
"11",3.73119130999444e-17
"12",-6.20114829122709e-18
"13",-1.05705878987257e-16
"14",1.49294919659755e-16
"15",1.43207419789452e-16
"16",-9.52059548967644e-18
"17",-5.4856357403782e-17
"18",1.57475768476662e-16
"19",3.74032999334778e-17
"20",1.38477390845842e-16
"21",2.63596521609023e-17
"22",-5.97785425366723e-17
"23",-2.85228339781116e-17
"24",-1.38288022126739e-16
"25",-1.10937886298455e-16
"26",-8.63555597099886e-18
"27",1.30841340438975e-16
"28",-3.39011327907416e-06
"29",2.68962875405113e-17
"30",-6.46087194394232e-17
"31",-1.31300525183455e-16
"32",-8.40778402896574e-17
"33",7.60419935704204e-17
"34",1.44974129317263e-16
"35",-7.58234242316688e-17
"36",5.49528078648263e-17
"37",-4.25500666528224e-17
"38",-8.19793711775815e-17
"39",-1.57241162507713e-16
"40",-8.4145770677751e-16
"41",8.12445828740768e-17
"42",-1.54815127398883e-16
"43",-7.13362396068535e-17
"44",-3.15981933975903e-06
"45",-4.86745060875148e-17
"46",-3.15981933954061e-06
"47",-4.21331901782154e-17
"48",-1.23432256419409e-16
"49",7.28428645947576e-17
"50",2.03545067214269e-17
"51",-8.54052512389311e-17
"52",-0.000210499800230136
"53",8.39613591885697e-17
"54",7.21746494582984e-17
"55",4.50421658956187e-17
"56",1.06848933350137e-16
"57",4.33432715518617e-18
"58",-1.27434191009499e-16
"59",-1.31041627837486e-16
"60",1.40658592488185e-16
"61",-1.29673648116304e-16
"62",-1.44925854785044e-18
"63",-5.21968319258818e-18
"64",5.79448223173396e-17
"65",-1.56232296433832e-16
"66",1.93474021230726e-18
"67",7.5132499023029e-17
"68",1.31062099264186e-16
"69",-1.43440400721963e-16
"70",1.36759311187946e-16
"71",-2.265332719609e-19
"72",3.71459479952084e-17
"73",7.13212290779536e-17
"74",-1.32409540363627e-16
"75",-9.54462979189892e-18
"76",1.13981378173815e-17
