"","authority"
"1",1.2984993824774e-14
"2",9.56861968116739e-15
"3",-6.63769095847223e-15
"4",1.0738320907317e-15
"5",-8.50969989796805e-16
"6",7.29856979606982e-15
"7",1.1762827536897e-14
"8",-4.64476418890625e-15
"9",-4.65632532518439e-15
"10",-1.12884512960477e-14
"11",3.02545098706781e-15
"12",-5.04218956216073e-16
"13",-8.5946391076885e-15
"14",1.20872043391049e-14
"15",1.15965525469754e-14
"16",-7.71285344166346e-16
"17",-4.44467681527827e-15
"18",1.27850880541185e-14
"19",3.02757368361005e-15
"20",1.12492104486855e-14
"21",2.14285863321644e-15
"22",-4.8502480696714e-15
"23",-2.31070420740272e-15
"24",-1.11785223998656e-14
"25",-8.98979761785795e-15
"26",-6.99331787786582e-16
"27",1.0596560803582e-14
"28",-1.15171369379609e-05
"29",2.18149182380359e-15
"30",-5.2248279175432e-15
"31",-1.06557427500694e-14
"32",-6.80931366782857e-15
"33",6.1691598885776e-15
"34",1.17526169379917e-14
"35",-6.13092377462624e-15
"36",4.46058404327654e-15
"37",-3.44448127515394e-15
"38",-6.6590869975087e-15
"39",-1.27519784954359e-14
"40",-6.36977409038328e-14
"41",6.56930889359962e-15
"42",-1.25314370827772e-14
"43",-5.78241999075537e-15
"44",-1.25320431718789e-05
"45",-3.93483164985892e-15
"46",-1.25320431542024e-05
"47",-3.41863550743757e-15
"48",-9.99068884861936e-15
"49",5.90271476964516e-15
"50",1.65130848897135e-15
"51",-6.92076998863305e-15
"52",-0.000686060994108523
"53",6.80991028737853e-15
"54",5.84553080914881e-15
"55",3.65495370110576e-15
"56",8.66066080309365e-15
"57",3.50133409852718e-16
"58",-1.03271592296541e-14
"59",-1.06269445787577e-14
"60",1.14122695727568e-14
"61",-1.05089281899321e-14
"62",-1.17457592088006e-16
"63",-4.2311410710656e-16
"64",4.6996889599285e-15
"65",-1.26380504076499e-14
"66",1.56421941604527e-16
"67",6.07318181070344e-15
"68",1.06288630135868e-14
"69",-1.1627964755764e-14
"70",1.10695855419924e-14
"71",-1.83625279810903e-17
"72",3.00877242144759e-15
"73",5.78907724299666e-15
"74",-1.07471117899835e-14
"75",-7.72544802539808e-16
"76",9.23318268523044e-16
"77",-1.46925190798254e-05
"78",1.16839812680001e-14
"79",-6.79126384042506e-15
"80",-7.01712170067771e-15
"81",-8.5132529239574e-15
"82",9.72884681151152e-15
"83",1.25728909487996e-14
"84",-4.89413580586751e-15
"85",-9.56360881505737e-15
"86",-3.3642264401812e-15
"87",-6.13447520811761e-15
"88",-5.85389753021856e-15
"89",-1.29708851747219e-14
"90",-1.0091210671581e-14
"91",6.92905640694917e-15
"92",5.02983541119109e-15
"93",3.86920084424166e-15
"94",-3.44715045996588e-16
"95",-2.36615492618824e-15
"96",-8.98490894797071e-15
"97",2.2831916788258e-15
"98",-8.86880381760537e-15
"99",5.99065829432714e-15
"100",2.19711245314178e-15
"101",-9.68746747614282e-16
"102",8.33159171511561e-16
"103",5.52615381557345e-15
"104",8.35387320851626e-15
"105",8.99311327026642e-15
"106",-1.86085566387867e-15
"107",-7.8534324456147e-15
"108",1.2126736176655e-14
"109",-8.94643825068259e-16
"110",3.94718417103241e-17
"111",-1.18256511230729e-14
"112",-6.44822761445864e-15
"113",-1.41755625248957e-15
"114",-1.01474395644912e-14
"115",-3.24229857266137e-15
"116",-8.88228054318089e-15
"117",8.83555457576041e-15
"118",7.45951952252915e-15
"119",-5.57602225162557e-15
"120",9.59768781068422e-15
"121",1.06220964118966e-14
"122",5.85382576308438e-15
"123",1.29071228921903e-14
"124",2.2257271576478e-15
"125",1.22869661994075e-14
"126",-5.44912207322008e-15
"127",-1.13720209250132e-14
"128",6.75444721314219e-15
"129",8.28680072827308e-15
"130",4.73827051466987e-15
"131",-1.00498833581284e-14
"132",-3.9487755588791e-15
"133",-0.000352437402968275
"134",-4.70951116770372e-15
"135",2.96540704026834e-15
"136",2.91570545140854e-15
"137",6.72522679892279e-18
"138",9.15317232171718e-15
"139",-2.26420622792959e-15
"140",-8.97422898095747e-15
"141",-2.34003073740841e-15
"142",-1.18268809509078e-14
"143",-1.45807833396937e-15
"144",-1.85558148616905e-06
"145",-1.78075336756627e-05
"146",2.36922902976976e-15
"147",9.30160941569855e-15
"148",-4.8269811531798e-05
"149",6.43715942499423e-15
"150",2.98280866108053e-16
"151",9.34111683915167e-16
"152",-1.19742435044031e-14
"153",-4.89697249550126e-07
"154",7.79698040797405e-15
"155",4.69392178702433e-15
"156",-3.35699150337345e-15
"157",9.69378965259844e-15
"158",-3.92791153629282e-15
"159",-3.15873904702351e-15
"160",-3.47437937767748e-07
"161",6.54857551485473e-15
"162",6.12054472299772e-16
"163",-2.09111552526078e-06
"164",7.70669045913096e-15
"165",1.22475811022151e-14
"166",-1.0431314117998e-14
"167",1.90883084446608e-15
"168",9.29642664333284e-15
"169",-1.16208221185845e-14
"170",2.32909965092223e-15
"171",9.57793444939824e-15
"172",-1.00152661266789e-14
"173",1.05913224668288e-14
"174",8.77238557720844e-15
"175",1.11393943281899e-14
"176",3.49714013018217e-15
"177",6.41311368156688e-15
"178",-5.94114095685315e-07
"179",-7.35342809493064e-15
"180",-2.53855383924506e-05
"181",3.907823576675e-15
"182",-5.05259211949887e-08
"183",-8.02340326318028e-15
"184",-1.12103403379234e-14
"185",-3.93812891612995e-15
"186",7.3948289430722e-15
"187",-4.66397263145262e-15
"188",-1.06195261786807e-14
"189",6.48935012029073e-15
"190",-9.37153753986574e-15
"191",7.46312016200136e-16
"192",-1.54673182588984e-16
"193",-2.60722160652338e-15
"194",-8.24672847629085e-15
"195",-6.64415672521845e-15
"196",9.80481652390081e-16
"197",-1.17216636659752e-14
"198",-3.44717882489878e-15
"199",1.57559709756174e-15
"200",-8.43202032691014e-15
"201",-2.90895510964197e-06
"202",-9.08524787799182e-06
"203",-1.26510196710159e-14
"204",-1.18008121851612e-14
"205",-9.12258787086886e-15
"206",5.47122761057681e-15
"207",-3.47437930868992e-07
"208",-3.47437930271872e-07
"209",1.02984710076841e-14
"210",2.23272381145526e-15
"211",-2.34744719952856e-05
"212",-9.77934032970366e-15
"213",1.55715421843464e-15
"214",-5.96656952043886e-15
"215",-9.58943445374066e-15
"216",-5.60014207524037e-15
"217",-7.80945972249183e-15
"218",-5.36368696625471e-15
"219",-6.27730931881771e-15
"220",1.24891952675708e-14
"221",-1.00252262948919e-14
"222",-6.48935245929654e-16
"223",9.52493025823176e-16
"224",-1.7990888124958e-05
"225",-5.54246189401586e-15
"226",2.87143649878753e-16
"227",-4.35462589656183e-15
"228",-4.72778251799161e-15
"229",7.80241067226249e-15
"230",-1.08199336968141e-14
"231",-0.000467175138491467
"232",-1.01288242714148e-14
"233",-1.14129846215139e-15
"234",9.36984377448229e-15
"235",1.28945040296253e-15
"236",-1.27087980666456e-14
"237",7.38742578021555e-15
"238",1.40175475834607e-15
"239",4.7853799828068e-15
"240",-3.54240757372883e-06
"241",-0.00508435786642665
"242",1.56531320513335e-15
"243",8.43207711730731e-16
"244",-7.96362886815955e-15
"245",3.50170442001396e-15
"246",7.49179308087781e-15
"247",-1.29619190200166e-14
"248",8.99577456048794e-15
"249",-3.3887228217952e-15
"250",-3.0216203550801e-15
"251",1.29694655884535e-14
"252",1.29620475230094e-14
"253",-7.0988967449603e-15
"254",-5.90389143861764e-15
"255",4.69585997332583e-15
"256",2.13670669671437e-15
"257",-4.73930922647705e-15
"258",-0.00101882630009002
"259",7.65406587731013e-15
"260",-8.73652918206633e-15
"261",-0.0128565046997603
"262",-8.5363610078311e-15
"263",1.05297197229288e-14
"264",1.0862390045911e-14
"265",-6.85603070208723e-15
"266",-3.36484283004282e-15
"267",7.43114422784701e-15
"268",-0.000993760755373538
"269",-0.00318941680115204
"270",-0.000944913763026633
"271",-1.17424273728897e-14
"272",-1.16223361510763e-14
"273",2.86049707672099e-15
"274",5.9934053001145e-15
"275",-4.99044309845179e-15
"276",5.60846035018708e-15
"277",-7.19006277534331e-15
"278",-7.37198212483158e-15
"279",2.01367591421655e-15
"280",5.65725151500496e-15
"281",-1.17434280245403e-06
"282",-7.70271084412819e-06
"283",8.00315298549206e-15
"284",-1.2549705831031e-14
"285",6.64659428596884e-15
"286",-8.3029991725937e-15
"287",9.4409970340193e-15
"288",2.64516514831225e-15
"289",-2.6232181497696e-15
"290",-0.00167185554039813
"291",-8.52706476124809e-15
"292",8.8885843293166e-15
"293",-1.26719200167562e-14
"294",6.30617751515611e-15
"295",-0.00104745837744587
"296",1.03456998813343e-14
"297",-3.73893926100135e-05
"298",-0.000110513862157287
"299",-0.000870001570916277
"300",-8.54866848602786e-05
"301",-5.09632107609062e-15
"302",-6.56857701677757e-15
"303",-4.40238473499455e-15
"304",-3.46519242716798e-15
"305",1.15193053739774e-14
"306",-2.55065629639876e-15
"307",7.08936236124681e-15
"308",-2.55587935224578e-05
"309",-5.18952648082751e-15
"310",9.93519611427309e-15
"311",-6.81903764301695e-15
"312",-6.78399099564738e-16
"313",-1.40004222818306e-15
"314",-2.28509519334558e-15
"315",4.42338174002392e-15
"316",-9.74772096812403e-08
"317",9.26998160696226e-15
"318",8.78591662204171e-15
"319",-2.27973925557339e-16
"320",-0.0102716740319361
"321",-8.13535861040213e-15
"322",-7.48600270486023e-05
"323",-0.000167935225550145
"324",4.77811924763377e-15
"325",-0.000644302707649184
"326",-7.41403462091254e-16
"327",4.91502323469773e-15
"328",-2.28845870969148e-15
"329",-7.48600270475959e-05
"330",1.79592608002622e-15
"331",-7.48600270408638e-05
"332",-0.000234616675886482
"333",-0.00348335604174662
"334",1.37983869289925e-15
"335",6.25973627602588e-16
"336",2.91294742985847e-15
"337",5.73188454286751e-15
"338",-0.0014810281107363
"339",3.38270498247824e-15
"340",6.39057761866579e-15
"341",-4.461041327668e-15
"342",-4.57685931678447e-15
"343",-3.61917492887366e-16
"344",5.61379261752649e-14
"345",-5.73325124685128e-15
"346",-1.15500709862261e-14
"347",1.02065690724265e-15
"348",-0.000654587647698731
"349",4.63384023890176e-15
"350",1.02748345957563e-15
"351",-4.45251864777073e-16
"352",-4.19038704636566e-15
"353",2.54937449767262e-15
"354",-2.74341417597195e-15
"355",-0.000117972222276567
"356",-0.00027063113777578
"357",-7.11713897786765e-06
"358",4.05605464619243e-15
"359",-0.00222663444564983
"360",-0.00276592290504844
"361",-5.36464062083696e-06
"362",-0.00412268205081898
"363",-0.000292078193135675
"364",-3.71313535924836e-15
"365",-1.19814993970847e-15
"366",-1.08515938077028e-14
"367",6.06104695191595e-15
"368",-1.22082757566003e-14
"369",6.57730695422919e-15
"370",-8.93274165855093e-15
"371",-5.03866655049858e-15
"372",-0.0074523423255394
"373",-8.76076389559509e-06
"374",-0.000155429857251146
"375",8.81028210624008e-15
"376",-5.37429739900451e-15
"377",-5.39727382084846e-15
"378",1.64549823614062e-15
"379",-2.14044882631426e-15
"380",-6.53675859445452e-15
"381",-1.27645574593392e-14
"382",-5.08169439081484e-15
"383",5.7259501476309e-15
"384",-6.59297814238315e-15
"385",8.53933633478544e-15
"386",-0.00216486070651238
"387",-0.00223921349923684
"388",1.09096281339048e-14
"389",-2.68595929097419e-05
"390",-0.00265527546292174
"391",-7.34934012287983e-15
"392",-6.4059403498675e-15
"393",1.65103993522342e-15
"394",1.28198878857478e-14
"395",-2.20194303589409e-15
"396",-4.79883543794664e-16
"397",1.12486536295751e-14
"398",-1.14325141789982e-15
"399",2.86370126390042e-15
"400",7.37977732876999e-15
"401",-0.000160498955601798
"402",-0.000128116192776567
"403",-2.920284533788e-05
"404",-1.75170249685834e-05
"405",-0.0013103037582547
"406",-6.64296892171825e-05
"407",-8.20498100462622e-15
"408",-3.20422132586822e-06
"409",-4.83286074855038e-15
"410",4.92990463085644e-15
