"","authority"
"1",4.3211664511452e-16
"2",3.18394861143789e-16
"3",-2.20804775556947e-16
"4",3.57453649149913e-17
"5",-2.83208199933436e-17
"6",2.42765509861354e-16
"7",3.91495803519516e-16
"8",-1.54361063669265e-16
"9",-1.54959650799707e-16
"10",-3.75461954144288e-16
"11",1.00634989058357e-16
"12",-1.6764983137404e-17
"13",-2.86004303809476e-16
"14",4.01961663176917e-16
"15",3.85722865008089e-16
"16",-2.56497674822536e-17
"17",-1.4788092008328e-16
"18",4.25040351348668e-16
"19",1.00709729569596e-16
"20",3.74099853690608e-16
"21",7.12569104708075e-17
"22",-1.61398360725257e-16
"23",-7.68267514360018e-17
"24",-3.7172286742244e-16
"25",-2.99150811090971e-16
"26",-2.32635007008235e-17
"27",3.53106032548199e-16
"28",-2.84665919782326e-06
"29",7.26054604396444e-17
"30",-1.73845940827336e-16
"31",-3.54523306859988e-16
"32",-2.26358481437704e-16
"33",2.05255655450292e-16
"34",3.91144700991323e-16
"35",-2.04048551724858e-16
"36",1.48394815123985e-16
"37",-1.14551030099985e-16
"38",-2.21510419431099e-16
"39",-4.24194347687662e-16
"40",-1.9447294796963e-15
"41",2.1839190603854e-16
"42",-4.16883509524508e-16
"43",-1.92486837315668e-16
"44",-4.18276725103776e-06
"45",-1.30781530499795e-16
"46",-4.18276725044988e-06
"47",-1.13744985584049e-16
"48",-3.32596248753371e-16
"49",1.96368583984733e-16
"50",5.49673132060128e-17
"51",-2.30326945949513e-16
"52",-0.000207318995740183
"53",2.26582806130653e-16
"54",1.94436937618949e-16
"55",1.2166171813184e-16
"56",2.88067394955772e-16
"57",1.1645750225268e-17
"58",-3.43513272284457e-16
"59",-3.53308586218507e-16
"60",3.79886817606847e-16
"61",-3.49686644929306e-16
"62",-3.9069196607946e-18
"63",-1.40677668988279e-17
"64",1.56361183700812e-16
"65",-4.20309572652322e-16
"66",5.20081447038499e-18
"67",2.02036835289442e-16
"68",3.53210251453356e-16
"69",-3.87039261938318e-16
"70",3.68207934655342e-16
"71",-6.11326621953349e-19
"72",1.00201515975714e-16
"73",1.92649236027972e-16
"74",-3.57383298948204e-16
"75",-2.57107443591202e-17
"76",3.07140136499914e-17
"77",-5.80015915970299e-06
"78",3.88683823345243e-16
"79",-2.25911257624505e-16
"80",-2.33418844488746e-16
"81",-2.83330208324436e-16
"82",3.23461423905835e-16
"83",4.17870817406515e-16
"84",-1.62835540885976e-16
"85",-3.17884642289797e-16
"86",-1.11891623888343e-16
"87",-2.04131982405187e-16
"88",-1.94666109248031e-16
"89",-4.31300476541956e-16
"90",-3.36123939055283e-16
"91",2.30381245282318e-16
"92",1.67452349860374e-16
"93",1.2880425275497e-16
"94",-1.14679204179248e-17
"95",-7.86607336229169e-17
"96",-2.98957891290535e-16
"97",7.59465516923514e-17
"98",-2.95044413604315e-16
"99",1.99494607832385e-16
"100",7.31046068277517e-17
"101",-3.22108013509767e-17
"102",2.77272959844046e-17
"103",1.83891451937349e-16
"104",2.77944872556077e-16
"105",2.98895340634619e-16
"106",-6.19403435497167e-17
"107",-2.61296081493717e-16
"108",4.03515176686738e-16
"109",-2.97750178904037e-17
"110",1.31348538270096e-18
"111",-3.93723406069104e-16
"112",-2.14339807402244e-16
"113",-4.71776610725901e-17
"114",-3.37599446572782e-16
"115",-0.000126716297816869
"116",-2.95563068702523e-16
"117",2.93789926438769e-16
"118",2.48227069457254e-16
"119",-1.85497293605633e-16
"120",3.19103310869162e-16
"121",3.53169616459562e-16
"122",1.94637673501632e-16
"123",4.29561748598564e-16
"124",7.41151509909618e-17
"125",4.09208915001558e-16
"126",-1.81388944463231e-16
"127",-3.78176258673089e-16
"128",2.24915114845048e-16
"129",2.75694079840861e-16
"130",1.57553566256697e-16
"131",-3.34180391495815e-16
"132",-1.31436488753863e-16
"133",-0.00016012434866863
"134",-1.56809466115237e-16
"135",9.8666317058142e-17
"136",9.69362288717871e-17
"137",2.23866476542459e-19
"138",3.04209107652504e-16
"139",-7.52503399044776e-17
"140",-2.98532369481023e-16
"141",-7.78037434544447e-17
"142",-3.93358526765341e-16
"143",-4.85324133158234e-17
"144",-1.06684983654446e-05
"145",-4.2152014831786e-06
"146",7.88080069544731e-17
"147",3.09456127475153e-16
"148",-2.53481051826639e-05
"149",-0.000147560332801595
"150",9.91883292738804e-18
"151",3.10780077492225e-17
