"","authority"
"1",2.20139426551009e-16
"2",1.62900580377549e-16
"3",-1.12544473930538e-16
"4",1.82050996698914e-17
"5",-1.44616454932634e-17
"6",1.23824748979319e-16
"7",1.99867264801168e-16
"8",-7.8747563381692e-17
"9",-7.88545177342856e-17
"10",-1.91567270399168e-16
"11",5.15024126643608e-17
"12",-8.55398611525786e-18
"13",-1.46364077874353e-16
"14",2.04739694357943e-16
"15",1.96427545780555e-16
"16",-1.31026336499046e-17
"17",-7.56177069784453e-17
"18",2.16904640033577e-16
"19",5.14444426217832e-17
"20",1.91384886673903e-16
"21",3.6362164240363e-17
"22",-8.21990586769895e-17
"23",-3.92096694375965e-17
"24",-1.89221444947319e-16
"25",-1.52656978383114e-16
"26",-1.19058167529902e-17
"27",1.79739094823449e-16
"28",-7.65378994089201e-07
"29",3.69910357568897e-17
"30",-8.86832485765699e-17
"31",-1.81144622053748e-16
"32",-1.15268103809389e-16
"33",1.04642075293511e-16
"34",1.99756651451266e-16
"35",-1.0432477223462e-16
"36",7.56694483794812e-17
"37",-5.85590727479718e-17
"38",-1.1271114824616e-16
"39",-2.16005751682555e-16
"40",-3.45496756006893e-14
"41",1.11438225145712e-16
"42",-2.12642807741576e-16
"43",-9.81685417142847e-17
"44",-0.00157232108949117
"45",-6.68169376804611e-17
"46",-0.00157232108949087
"47",-5.79342683505679e-17
"48",-1.69798058093004e-16
"49",1.0038684250444e-16
"50",2.80575877659502e-17
"51",-1.17393056292744e-16
"52",9.80206066507195e-18
"53",1.1548087097016e-16
"54",9.90338977085847e-17
"55",6.20103980745868e-17
"56",1.46882296800056e-16
"57",5.92950483498649e-18
"58",-1.75475249988561e-16
"59",-1.8056964017054e-16
"60",1.93484429429084e-16
"61",-1.78410087142246e-16
"62",-2.00185864293304e-18
"63",-7.19732074997551e-18
"64",7.97120977950901e-17
"65",-2.14635285083198e-16
"66",2.65788203673927e-18
"67",1.02977896816463e-16
"68",1.804551947154e-16
"69",-1.97353479591509e-16
"70",1.87905123329741e-16
"71",-3.1262510766367e-19
