"","authority"
"1",6.97249977531036e-15
"2",5.13820956545787e-15
"3",-3.56438590093692e-15
"4",5.7662768220832e-16
"5",-4.56930565253508e-16
"6",3.91897750216708e-15
"7",6.31646012890003e-15
"8",-2.49409042805185e-15
"9",-2.50020480471308e-15
"10",-6.06161129472911e-15
"11",1.6245847495652e-15
"12",-2.70754225298118e-16
"13",-4.61503282689193e-15
"14",6.49009917646261e-15
"15",6.22712812292976e-15
"16",-4.14146709989834e-16
"17",-2.38642771828905e-15
"18",6.86527562394014e-15
"19",1.62573445450801e-15
"20",6.04027238933374e-15
"21",1.1506201479507e-15
"22",-2.60447700033566e-15
"23",-1.24078880843439e-15
"24",-0.000189520207564894
"25",-4.82703126919109e-15
"26",-3.75490317030975e-16
"27",5.68966098778755e-15
"28",-3.55427034416753e-06
"29",1.17133947817633e-15
"30",-2.80543127077394e-15
"31",-5.7217035209245e-15
"32",-3.65625781235101e-15
"33",3.31254049182607e-15
"34",6.31026692515556e-15
"35",-3.29218135581279e-15
"36",2.39519701251714e-15
"37",-1.8496028496897e-15
"38",-3.57555294181735e-15
"39",-6.84701725397823e-15
"40",-5.90381202992075e-07
"41",3.52725595794496e-15
"42",-0.000126485475043412
"43",-3.10481253589239e-15
"44",-3.08359957551841e-06
"45",-2.11286869054603e-15
"46",-3.08359956602637e-06
"47",-1.83554666751702e-15
"48",-5.36460911240718e-15
"49",3.16947743733629e-15
"50",8.86737155542289e-16
"51",-3.71613197272891e-15
"52",-0.000143952336697992
"53",3.65667401337562e-15
"54",3.13867910245526e-15
"55",1.9624636886841e-15
"56",4.65046523202059e-15
"57",1.88007614930403e-16
"58",-5.545122806749e-15
"59",-5.70589877797403e-15
"60",6.12759672487286e-15
"61",-5.64263830290427e-15
"62",-6.30693571374862e-17
"63",-2.27190458925014e-16
"64",2.52358686341408e-15
"65",-6.78609752868334e-15
"66",8.39952086000781e-17
"67",3.26101909049023e-15
"68",5.70724215420934e-15
"69",-6.2439016799283e-15
"70",5.94387437433013e-15
"71",-9.86051485161889e-18
"72",1.61562061296794e-15
"73",3.10841731212023e-15
"74",-5.77066186247917e-15
"75",-4.14824886773122e-16
"76",4.95787070017925e-16
"77",-3.98546448752495e-06
"78",6.27378619838067e-15
"79",-7.76335628091258e-15
"80",-3.76791620478439e-15
"81",-4.57141170865838e-15
"82",5.22431445239934e-15
"83",6.75107954504446e-15
"84",-2.6279705882537e-15
"85",-5.13477180846788e-15
"86",-1.80645445859007e-15
"87",-3.29419847041906e-15
"88",-3.14315007218373e-15
"89",-6.96443077803551e-15
"90",-5.41845752380236e-15
"91",3.72051663965198e-15
"92",2.70069710745168e-15
"93",2.07751670627596e-15
"94",-1.85097252774332e-16
"95",-1.2705218779525e-15
"96",-4.82466653317887e-15
"97",1.2259858742816e-15
"98",-4.76215209608101e-15
"99",3.21672625895938e-15
"100",1.17979849089473e-15
"101",-5.20188925173753e-16
"102",4.47380145971349e-16
"103",2.96724253963407e-15
"104",4.48544249931254e-15
"105",4.82872221647597e-15
"106",-9.99205027727771e-16
"107",-4.21685907485227e-15
"108",6.51140301895341e-15
"109",-4.80387863632219e-16
"110",2.11949620103137e-17
"111",-6.35005391376524e-15
"112",-3.46223489424792e-15
"113",-7.61182359260231e-16
"114",-5.44874365732713e-15
"115",-0.000125844785379619
"116",-4.76915507045498e-15
"117",4.74449766009148e-15
"118",4.00559719666327e-15
"119",-2.9940092838152e-15
"120",5.15348015524178e-15
"121",5.7035984411591e-15
"122",3.14328080032933e-15
"123",6.93048079061584e-15
"124",1.19508943070535e-15
"125",6.59742269124798e-15
"126",-7.64393142399383e-06
"127",-6.10636687919506e-15
"128",3.62675788672117e-15
"129",4.44980840893919e-15
"130",2.54447571307832e-15
"131",-5.39630120844374e-15
"132",-2.12033839053334e-15
"133",-0.00168030114386496
"134",-2.52884658740923e-15
"135",1.59225018109681e-15
"136",1.56567132181583e-15
"137",3.61115303607185e-18
"138",4.9150626961134e-15
"139",-1.21582807879145e-15
"140",-4.81883875502744e-15
"141",-1.25656255131073e-15
"142",-6.35035534536549e-15
"143",-7.82912374825764e-16
"144",-1.18140289482524e-05
"145",-2.28534022651523e-06
"146",1.27222320770313e-15
"147",4.99451531911234e-15
"148",-1.9089067925135e-05
"149",-0.000192571942777434
"150",1.60160236554945e-16
"151",5.01560619135431e-16
"152",-6.43008081749629e-15
