"","authority"
"1",2.22905873061717e-14
"2",1.64269864841444e-14
"3",-1.13953111249854e-14
"4",1.84346966289704e-15
"5",-1.46083244378155e-15
"6",1.25294687763504e-14
"7",2.01934904286683e-14
"8",-7.97405860908919e-15
"9",-7.99331446121466e-15
"10",-1.93795401500417e-14
"11",5.19365693294374e-15
"12",-8.65651328586696e-16
"13",-1.47551856267485e-14
"14",2.07498762826403e-14
"15",1.99075631384215e-14
"16",-1.32409095171283e-15
"17",-7.63016819343936e-15
"18",2.19477163456678e-14
"19",5.19747977372105e-15
"20",1.93109047468561e-14
"21",3.67862788116095e-15
"22",-8.32673229837742e-15
"23",-3.96684748144588e-15
"24",-1.91896733893608e-14
"25",-1.54325113113535e-14
"26",-1.20053795065027e-15
"27",1.81914377998921e-14
"28",-1.40273704111141e-05
"29",3.74494850678402e-15
"30",-8.96970739102841e-15
"31",-1.82928700090995e-14
"32",-1.16894459894958e-14
"33",1.05902114675494e-14
"34",2.01750067353088e-14
"35",-1.05248083848772e-14
"36",7.65771388554325e-15
"37",-5.91337267269462e-15
"38",-1.14314072763698e-14
"39",-2.18912075011595e-14
"40",-3.95507021768364e-14
"41",1.12776240885839e-14
"42",-2.15134340726785e-14
"43",-9.92637203583945e-15
"44",-1.07894036074129e-05
"45",-6.75498375277052e-15
"46",-1.07894035770673e-05
"47",-5.86858029207e-15
"48",-1.71511974156125e-14
"49",1.01330615715548e-14
"50",2.83495734812748e-15
"51",-1.18808928308027e-14
"52",-0.000764177224903617
"53",1.1690689317314e-14
"54",1.00350286648917e-14
"55",6.27421984207836e-15
"56",1.48674267448055e-14
"57",6.01084166584731e-16
"58",-1.77280837944269e-14
"59",-1.82437845833494e-14
"60",1.95906093943854e-14
"61",-1.80403492612529e-14
"62",-2.01636184047819e-16
"63",-7.26337820768441e-16
"64",8.06792854354563e-15
"65",-2.16957203018827e-14
"66",2.68539388091196e-16
"67",1.04258580283988e-14
"68",1.82458984404051e-14
"69",-1.99623214901037e-14
"70",1.90031406616334e-14
"71",-3.15234577732102e-17
"72",5.16526616062514e-15
"73",9.93817519215396e-15
"74",-1.84485526521813e-14
"75",-1.32619953603715e-15
"76",1.58506224200807e-15
"77",-2.48930529401075e-05
"78",2.0058258044866e-14
"79",-1.16587052006342e-14
"80",-1.204629337459e-14
"81",-1.46149151093428e-14
"82",1.67021445901342e-14
"83",2.15837743744499e-14
"84",-8.4017251812658e-15
"85",-1.64172765259851e-14
"86",-5.77515057935792e-15
"87",-1.05312150983959e-14
"88",-1.00492820398918e-14
"89",-2.22671954873335e-14
"90",-1.73237944610319e-14
"91",1.18947925841311e-14
"92",8.63457375582385e-15
"93",6.64198731143921e-15
"94",-5.91776318132147e-16
"95",-4.06196282305952e-15
"96",-1.54244854928874e-14
"97",3.9195722501808e-15
"98",-1.52252052182191e-14
"99",1.02843109283479e-14
"100",3.77185488665967e-15
"101",-1.66312279165732e-15
"102",1.43028699375103e-15
"103",9.48647678575958e-15
"104",1.43411787635641e-14
"105",1.54380591513363e-14
"106",-3.19450563240458e-15
"107",-1.34818083904449e-14
"108",2.08172387825896e-14
"109",-1.53584864744127e-15
"110",6.77597451170545e-17
"111",-2.0301078041765e-14
"112",-1.10693886766029e-14
"113",-2.43348732977373e-15
"114",-1.7419652509319e-14
"115",-5.56599666371253e-15
"116",-1.52488494478004e-14
