"","authority"
"1",2.95797510375967e-18
"2",1.7708976479805e-18
"3",-1.57577491266515e-18
"4",2.68093900059687e-19
"5",-1.57011070049495e-19
"6",1.55841378809054e-18
"7",2.59756423968604e-18
"8",-9.73055738289562e-19
"9",-9.93018139163376e-19
"10",-1.74287615214351e-18
"11",5.42605245735595e-19
"12",-8.91435424208878e-20
"13",-1.73265103631993e-18
"14",2.49648134662515e-18
"15",2.44247184490566e-18
"16",-1.26417176237578e-19
"17",-9.38540269700796e-19
"18",2.52265286107989e-18
"19",5.66834569506785e-19
"20",2.10191932884639e-18
"21",3.87951221748826e-19
"22",-1.04679715730685e-18
"23",-4.82956510955e-19
"24",-2.2982016289633e-18
"25",-1.76822505126656e-18
"26",-1.52807217135154e-19
"27",2.32826922977312e-18
"28",-6.15869621895987e-06
"29",4.12039101168607e-19
"30",-1.03438112985418e-18
"31",-2.06096309944627e-18
"32",-1.21194384012439e-18
"33",1.35485566572799e-18
"34",2.17937709366692e-18
"35",-1.24791587337877e-18
"36",1.03461148279429e-18
"37",-5.77167809757881e-19
"38",-1.40837089666658e-18
"39",-2.81395326832165e-18
"40",1.09502868927445e-18
"41",1.11553648990782e-18
"42",-2.96494660936814e-18
"43",-1.16144013509451e-18
"44",-2.27280141540037e-05
"45",-8.67771155597896e-19
"46",-2.27280141539996e-05
"47",-7.58394280626575e-19
"48",-2.14671368200581e-18
"49",1.29386675467185e-18
"50",3.7752872035639e-19
"51",-1.13844311723576e-18
"52",1.24166430438972e-19
"53",1.04504890712479e-18
"54",1.34347210035304e-18
"55",5.51864966006637e-19
"56",1.85713437479146e-18
"57",7.48059683122997e-20
"58",-1.76680391879279e-18
"59",-2.00182940779882e-18
"60",2.61776720096621e-18
"61",-2.12930740234503e-18
"62",-2.72412515824191e-20
"63",-8.4092663647547e-20
"64",8.8354185198266e-19
"65",-2.24269337822869e-18
"66",3.028140283154e-20
"67",1.38007419686267e-18
"68",2.01052516583514e-18
"69",-2.15279088613834e-18
"70",2.12016987838981e-18
"71",-3.16490886592659e-21
"72",5.90938378686345e-19
"73",1.06332314391268e-18
"74",-2.11395660236944e-18
"75",-1.31860246442603e-19
"76",1.75840059001251e-19
"77",-2.44483608927728e-07
"78",2.58747110560759e-18
"79",-1.36707323740865e-18
"80",-1.4887992533692e-18
"81",-1.91632557418201e-18
"82",2.1104305254214e-18
"83",2.80044914042078e-18
"84",-1.06471730047942e-18
"85",-2.04691323879537e-18
"86",-6.91228248926831e-19
"87",-1.31305245684198e-18
"88",-1.1661852677319e-18
"89",-2.37008597757459e-18
"90",-1.92361846606624e-18
"91",1.40489108921754e-18
"92",1.02452178218656e-18
"93",8.0303674784871e-19
"94",-6.84482880416951e-20
"95",-5.00968218047279e-19
