"","authority"
"1",1.94653786915156e-14
"2",1.43446286783175e-14
"3",-9.95102276018886e-15
"4",1.60980067633424e-15
"5",-1.2756612650917e-15
"6",1.0941243009767e-14
"7",1.76340007392575e-14
"8",-6.96323058011247e-15
"9",-6.9802812402646e-15
"10",-1.69229957852255e-14
"11",4.53540563990594e-15
"12",-7.55881762769391e-16
"13",-1.28846153306204e-14
"14",1.81193643776942e-14
"15",1.73839287216188e-14
"16",-1.15625426194873e-15
"17",-6.66290032773035e-15
"18",1.91657595855399e-14
"19",4.53872640199135e-15
"20",1.68631462293009e-14
"21",-0.000123008657572805
"22",-0.000123008657583288
"23",-0.000220343261253836
"24",-0.000133296517409631
"25",-1.34765677025758e-14
"26",-1.04834449006009e-15
"27",1.58851471203998e-14
"28",-1.47639030225726e-06
"29",3.27015009727307e-15
"30",-7.83250019503905e-15
"31",-1.59738774953352e-14
"32",-1.02074943692398e-14
"33",9.24783884480337e-15
"34",1.76175002270138e-14
"35",-9.19080444089729e-15
"36",6.68687590613634e-15
"37",-5.16365229922474e-15
"38",-9.98218579482054e-15
"39",-1.91161184266054e-14
"40",-6.2852912482402e-07
"41",9.84783131652989e-15
"42",-9.11912867339598e-05
"43",-8.66831281933915e-15
"44",-1.46318470160452e-06
"45",-5.89866008667631e-15
"46",-1.46318467510572e-06
"47",-5.12464547523609e-15
"48",-1.49772407747136e-14
"49",8.8484793171797e-15
"50",2.47554297827619e-15
"51",-1.03747795602752e-14
"52",-7.70895412665292e-05
"53",1.0208421027963e-14
"54",8.76287524041917e-15
"55",5.47884614629419e-15
"56",1.29829576062146e-14
"57",-6.61035229225044e-05
"58",-1.54810399727797e-14
"59",-1.59307986248538e-14
"60",1.7107527249949e-14
"61",-1.57532722977523e-14
"62",-1.76078516470013e-16
"63",-6.34250171709506e-16
"64",7.04513254119423e-15
"65",-1.8945219687597e-14
"66",2.34493759520838e-16
"67",9.10412531165231e-15
"68",1.59331674555014e-14
"69",-1.74318005010663e-14
"70",1.65940650724755e-14
"71",-2.7527694140937e-17
"72",4.5104406916432e-15
"73",8.67838844786858e-15
"74",-1.61099484459454e-14
"75",-1.15807430330318e-15
"76",1.38416720891952e-15
"77",-1.50302968546309e-06
"78",1.7515512358005e-14
"79",-1.58889482230718e-07
"80",-1.05192596745076e-14
"81",-1.27621059611266e-14
"82",1.45846964382868e-14
"83",1.88475543406455e-14
"84",-7.33666785290444e-15
"85",-1.43360436033222e-14
"86",-5.04322765665358e-15
"87",-9.19641570783283e-15
"88",-8.77547444418508e-15
"89",-1.94441999394573e-14
"90",-1.51274409188318e-14
"91",1.03870155998618e-14
"92",7.54005890994637e-15
"93",5.79996596428496e-15
"94",-5.16750177643313e-16
"95",-0.000226237238543218
"96",-1.34691229249972e-14
"97",3.42269605195181e-15
"98",-1.3295506857139e-14
"99",8.98071153174528e-15
"100",3.29375889935431e-15
"101",-1.45224824738301e-15
"102",1.24897781613704e-15
"103",8.28402598239261e-15
"104",1.25229363894002e-14
"105",1.34810145638413e-14
"106",-2.78954338219674e-15
"107",-1.17727344070995e-14
"108",1.81785195177598e-14
"109",-1.34114263896934e-15
"110",5.91699766151577e-17
"111",-1.77277187964227e-14
"112",-9.66633025065967e-15
"113",-2.12499332845572e-15
"114",-1.52117824975354e-14
"115",-9.32879008403125e-05
"116",-1.33157275387749e-14
"117",1.32454191228703e-14
"118",1.11826800555068e-14
"119",-8.35884937186709e-15
"120",1.43877255585553e-14
"121",1.59232866095738e-14
"122",8.77539477950222e-15
"123",1.93487113269288e-14
"124",3.33660898788222e-15
"125",1.84189086337672e-14
"126",-4.28213545157302e-06
"127",-1.70476132751219e-14
"128",1.01254972553237e-14
"129",1.24229806879301e-14
"130",7.10323512233598e-15
"131",-1.50657690555977e-14
"132",-5.9196484400645e-15
"133",-0.00114201610571956
"134",-7.05993047546594e-15
"135",4.44525726963654e-15
"136",4.37081525976015e-15
"137",1.00818206660004e-17
"138",1.37215268095992e-14
"139",-3.39418487596931e-15
"140",-1.34536168468333e-14
"141",-3.50798760538058e-15
"142",-1.77294915853601e-14
"143",-2.18582122740726e-15
"144",-4.59790917575357e-05
"145",-9.53548336394239e-07
"146",3.55173639859802e-15
"147",1.39442857150436e-14
"148",-8.93441218678701e-06
"149",-0.000109691080080864
"150",4.47137152874151e-16
"151",1.40032329839186e-15
"152",-1.7950674714125e-14
"153",-7.07719200300266e-07
"154",1.1688631730084e-14
"155",7.03676084046755e-15
"156",-5.03252617061347e-15
"157",1.45321300435166e-14
"158",-5.88841096248695e-15
"159",-4.73518534584436e-15
"160",-5.98455304749514e-09
"161",9.81662732823289e-15
"162",9.17533858334393e-16
"163",-7.54460946470915e-08
"164",1.15525495017405e-14
"165",1.83603769023572e-14
"166",-1.56375077164744e-14
"167",2.86149284385781e-15
"168",1.3936405067091e-14
"169",-1.74209680570899e-14
"170",3.49158979057176e-15
"171",1.43578663545939e-14
"172",-1.50135538578073e-14
"173",1.58768084266066e-14
"174",1.31507587801828e-14
"175",1.66987360761169e-14
"176",5.24248626947397e-15
"177",9.61350449130009e-15
"178",-2.00824868012274e-08
"179",-1.10234339452645e-14
"180",-9.62496598359013e-06
"181",5.8581391445891e-15
"182",-3.51414562058873e-09
"183",-1.20271337509473e-14
"184",-1.68052537308264e-14
"185",-5.90361163445121e-15
"186",1.10855200000564e-14
"187",-6.9916867004484e-15
"188",-1.59196514487753e-14
"189",9.72778562746352e-15
"190",-1.40482651641361e-14
"191",1.11876481243332e-15
"192",-2.31867368661181e-16
"193",-3.90837502097312e-15
"194",-1.23628453536629e-14
"195",-9.96029634415591e-15
"196",1.46984770169789e-15
"197",-1.75719920429069e-14
"198",-5.16757896249495e-15
"199",2.36188636627948e-15
"200",-4.28213545604542e-06
"201",-1.53801049039678e-07
"202",-3.69979049583763e-06
"203",-1.89644342461837e-14
"204",-1.76906551796127e-14
"205",-1.36752282387715e-14
"206",8.20203196618488e-15
"207",-5.98454270562641e-09
"208",-5.98454181047317e-09
"209",1.54386518434073e-14
"210",3.34691083534107e-15
"211",-6.05816047846138e-06
"212",-1.46599070180165e-14
"213",2.33431057030576e-15
"214",-8.94415700420459e-15
"215",-1.43757522538914e-14
"216",-8.39503338234058e-15
"217",-1.17074653899459e-14
"218",-8.04050553114024e-15
"219",-9.41006183517376e-15
"220",1.87217592560865e-14
"221",-1.50286051277555e-14
"222",-1.71820501063141e-06
"223",1.42789334733609e-15
"224",-1.81600608141647e-06
"225",-8.30866727995111e-15
"226",4.30441836123196e-16
"227",-6.52784848007083e-15
"228",-7.08733127109729e-15
"229",1.16967066283663e-14
"230",-1.62197289895473e-14
"231",-6.83822313298766e-05
"232",-1.51836866509666e-14
"233",-1.71092679087825e-15
"234",1.4046425665819e-14
"235",1.93300387133668e-15
"236",-1.90513867907449e-14
"237",1.10745133533912e-14
"238",2.10132334880442e-15
"239",7.17368473224383e-15
"240",-1.82891904016233e-07
"241",-0.000664504452382643
"242",2.34649638686961e-15
"243",1.26400930767268e-15
"244",-1.19379352640098e-14
"245",5.24946948607532e-15
"246",1.12306997463023e-14
"247",-1.94309705194962e-14
"248",1.34854670990055e-14
"249",-5.08004835289821e-15
"250",-4.52957276038779e-15
"251",1.94423157906966e-14
"252",1.9430847601247e-14
"253",-1.06417184726994e-14
"254",-8.85028397344676e-15
"255",7.03956415346338e-15
"256",3.20312205118514e-15
"257",-7.10465295670512e-15
"258",-0.000135772040615339
"259",1.14744133267643e-14
"260",-1.30969005850514e-14
"261",-0.00740901954598294
"262",-1.27965889577814e-14
"263",1.57846208877311e-14
"264",1.62832919880416e-14
"265",-1.0277848931771e-14
"266",-5.04438200671202e-15
"267",1.11399958731773e-14
"268",-0.000104234455762085
"269",-0.00144095227686374
"270",-0.000110871510992913
"271",-1.76029687952468e-14
"272",-1.74230474467986e-14
"273",4.28807759059448e-15
"274",8.9845810363139e-15
"275",-7.48126617257165e-15
"276",8.40778099145708e-15
"277",-1.07784675775683e-14
"278",-1.10508990810832e-14
"279",3.01867912424538e-15
"280",8.48081846294701e-15
"281",-1.09631216806152e-07
"282",-6.94487885149606e-07
"283",1.19975487417266e-14
"284",-1.88124316968656e-14
"285",9.96394970604917e-15
"286",-1.24470923478841e-14
"287",1.41530676064412e-14
"288",3.96534671356193e-15
"289",-3.93236722479363e-15
"290",-0.000506762555419524
"291",-1.27827601950818e-14
"292",1.33247791755468e-14
"293",-1.89954521878225e-14
"294",9.45359162359615e-15
"295",-0.000151996090446615
"296",1.55086660083461e-14
"297",-8.79294927654988e-06
"298",-0.000916995467828605
"299",-0.000439945490791418
"300",-0.000448042570082042
"301",-7.63990806412466e-15
"302",-9.84687415294694e-15
"303",-6.59955450739176e-15
"304",-5.19449860112196e-15
"305",1.7268152448086e-14
"306",-3.82368034893006e-15
"307",1.06278639828618e-14
"308",-3.11905681192137e-06
"309",-7.77964615205989e-15
"310",1.48932628746909e-14
"311",-1.02219439657452e-14
"312",-1.01699283904313e-15
"313",-2.09880110550431e-15
"314",-3.42545226666845e-15
"315",6.63124094675262e-15
"316",-5.26582873615477e-09
"317",1.38965186083678e-14
"318",1.31706601884064e-14
"319",-4.63211107414824e-05
"320",-0.0078010197500192
"321",-1.21956289869301e-14
"322",-1.06187269020915e-05
"323",-0.00140752297899342
"324",7.16289746406476e-15
"325",-0.000310458722544197
"326",-1.1113979842679e-15
"327",7.36802533749729e-15
"328",-3.43053166069264e-15
"329",-1.06187269005828e-05
