"","authority"
"1",1.96194919753218e-14
"2",1.44582399203559e-14
"3",-1.00296622091388e-14
"4",1.6224850098671e-15
"5",-1.28577323602071e-15
"6",1.10277890606409e-14
"7",1.77732552299451e-14
"8",-7.01837369245653e-15
"9",-7.03545217275039e-15
"10",-1.70566106409018e-14
"11",4.57132047012477e-15
"12",-7.61876926990832e-16
"13",-1.29869013007888e-14
"14",1.82631411315806e-14
"15",1.75222423729558e-14
"16",-1.16542254179561e-15
"17",-6.71573694668772e-15
"18",1.93175958441166e-14
"19",4.57472385154826e-15
"20",1.69965488663208e-14
"21",3.23784454821055e-15
"22",-7.32866259390275e-15
"23",-3.49138943278238e-15
"24",-1.68898802647871e-14
"25",-1.35831850573394e-14
"26",-1.05665843194185e-15
"27",1.60109735721289e-14
"28",-7.63384553701848e-06
"29",3.29615271547284e-15
"30",-7.8945926130763e-15
"31",-1.61002709225879e-14
"32",-1.02885521027586e-14
"33",9.32107065416774e-15
"34",1.77572765433549e-14
"35",-9.26359736247527e-15
"36",6.73981068521128e-15
"37",-5.20459768229634e-15
"38",-1.00611085557754e-14
"39",-1.92682717409812e-14
"40",4.11706330673288e-13
"41",9.92611785626623e-15
"42",-1.89348176759163e-14
"43",-8.73708018854035e-15
"44",-2.81695491056712e-05
"45",-5.94543738595377e-15
"46",-2.8169549078963e-05
"47",-5.16534119789732e-15
"48",-1.50956380137713e-14
"49",8.91853384494077e-15
"50",2.49515550732218e-15
"51",-1.04571371243942e-14
"52",8.73810126205622e-16
"53",1.02896534414418e-14
"54",8.83239789540777e-15
"55",5.52227376117898e-15
"56",1.30860417908149e-14
"57",5.290538087001e-16
"58",-1.56033085616081e-14
"59",-1.60569970390411e-14
"60",1.7242995244235e-14
"61",-1.5877863405557e-14
"62",-1.77468376852861e-16
"63",-6.39286787377132e-16
"64",7.1009102636628e-15
"65",-1.90957848608613e-14
"66",2.36351047467698e-16
"67",9.17604540697756e-15
"68",1.60592190648358e-14
"69",-1.75697682992627e-14
"70",1.67255008686079e-14
"71",-2.77454106600013e-17
"72",4.54615218981624e-15
"73",8.74714725161277e-15
"74",-1.62376178455818e-14
"75",-1.16724026376223e-15
"76",1.39512652219714e-15
"77",-3.27032599386493e-07
"78",1.76546532720269e-14
"79",-1.02617042509121e-14
"80",-1.06026338954057e-14
"81",-1.28632224610966e-14
"82",1.47003148790449e-14
"83",1.89967667296775e-14
"84",-7.39485639313906e-15
"85",-1.44495198704665e-14
"86",-5.0830548638385e-15
"87",-9.26951530537592e-15
"88",-8.84482757092984e-15
"89",-1.9598810041642e-14
"90",-1.52473696775138e-14
"91",1.04691656812028e-14
"92",7.5998406478927e-15
"93",5.84600277615137e-15
"94",-5.20848859052844e-16
"95",-3.57515215007746e-15
"96",-1.35762021006846e-14
"97",3.44981606796191e-15
"98",-1.34002895352657e-14
"99",9.05169310773268e-15
"100",3.31984567694678e-15
"101",-1.46378289959759e-15
"102",1.25888209553827e-15
"103",8.34944589447061e-15
"104",1.26221070887469e-14
"105",1.35878690295905e-14
"106",-2.81163766197444e-15
"107",-1.18659081959818e-14
"108",1.83231642715278e-14
"109",-1.35180595483296e-15
"110",5.96399318024199e-17
"111",-1.78677519772228e-14
"112",-9.74292977261025e-15
"113",-2.14179491242561e-15
"114",-1.53319500394073e-14
"115",-4.89896247690411e-15
"116",-1.34209468078112e-14
"117",1.33506261624344e-14
"118",1.12711339116513e-14
"119",-8.42513197087104e-15
"120",1.45017037194914e-14
"121",1.60490114692463e-14
"122",8.84496256602246e-15
"123",1.95019187260428e-14
"124",3.36304817239917e-15
"125",1.85648669359415e-14
"126",-8.2332987964117e-15
"127",-1.71827684112853e-14
"128",1.02056665221299e-14
"129",1.25214037899289e-14
"130",7.15951064780332e-15
"131",-1.5185650990181e-14
"132",-5.96665422795833e-15
"133",1.37203318588504e-14
"134",-7.11568434529715e-15
"135",4.48049991807513e-15
"136",4.40555597868258e-15
"137",1.01621394094153e-17
"138",1.38308609722151e-14
"139",-3.42120335760287e-15
"140",-1.35604384302392e-14
"141",-3.5357621673847e-15
"142",-1.7869842022716e-14
"143",-2.20309266068984e-15
"144",-1.82526836658458e-06
"145",-1.89640248126556e-14
"146",3.57989876130632e-15
"147",1.40545295178009e-14
"148",-9.81609575487851e-05
"149",9.72624900906883e-15
"150",4.50682711621783e-16
"151",1.4113942776408e-15
"152",-1.80930929867628e-14
"153",-8.25829299825011e-07
"154",1.17812831307794e-14
"155",7.09253809081764e-15
"156",-5.07233564998748e-15
"157",1.46475904625494e-14
"158",-5.93529068592096e-15
"159",-4.77277067262967e-15
"160",-1.88000584587436e-08
"161",9.89442330227644e-15
"162",9.24768876078395e-16
"163",-3.91147614465901e-06
"164",1.16444799701192e-14
"165",1.85063836233616e-14
"166",-1.57613198231852e-14
"167",2.88423760549526e-15
"168",1.40470227491718e-14
"169",-1.75592031284188e-14
"170",3.51926890940904e-15
"171",1.44718616554032e-14
"172",-1.51327455102356e-14
"173",1.60022619474661e-14
"174",1.32551229945018e-14
"175",1.68308416251412e-14
"176",5.28391911764951e-15
"177",9.68970547732907e-15
"178",-1.23709990378652e-06
"179",-1.11108478680818e-14
"180",-3.15399314013558e-05
"181",5.90468712382364e-15
"182",-7.36950844023281e-08
"183",-1.21229194198421e-14
"184",-1.69382702263234e-14
"185",-5.95051244071782e-15
"186",1.11735264692413e-14
