"","authority"
"1",-2.52200151263171e-18
"2",-1.83380563355527e-18
"3",1.33265828568517e-18
"4",-2.2315895092858e-19
"5",8.24502601840475e-05
"6",-1.31632985234613e-18
"7",-2.25904234564014e-18
"8",8.12725673625384e-19
"9",9.63464382059836e-19
"10",2.50645844765365e-18
"11",-6.0042958845379e-19
"12",1.00437665832614e-19
"13",1.73725345161018e-18
"14",-2.30504756233879e-18
"15",-2.32841045182182e-18
"16",1.60302032860904e-19
"17",9.01068823544424e-19
"18",-2.69066706959232e-18
"19",-6.4605399635342e-19
"20",-2.38143348676363e-18
"21",0.000255208795747865
"22",0.000255208795747867
"23",0.00046689316226272
"24",9.58652103170186e-05
"25",1.70818783707301e-18
"26",1.3011348070994e-19
"27",-2.09552368601486e-18
"28",1.27765334164163e-06
"29",-5.13873610706238e-19
"30",9.67241269881594e-19
"31",2.17841415558641e-18
"32",1.32628249178222e-18
"33",2.44553669610343e-05
"34",-2.30605877255315e-18
"35",1.17789716092122e-18
"36",-8.77984071520326e-19
"37",6.99271978212268e-19
"38",1.21601008864875e-18
"39",2.54086456265215e-18
"40",8.33646970317127e-07
"41",-1.28899859816344e-18
"42",9.43752252066742e-05
"43",9.76080672850171e-19
"44",1.13849058148e-06
"45",7.6790259517037e-19
"46",1.13849058147642e-06
"47",7.32461146147962e-19
"48",2.10764043030922e-18
"49",-1.19021919231789e-18
"50",-3.18091655668451e-19
"51",1.43434824074652e-18
"52",6.35343717910844e-05
"53",-1.3350791583575e-18
"54",-1.2332932208638e-18
"55",-7.07538758852835e-19
"56",-1.75183321993084e-18
"57",5.11789109480593e-05
"58",2.11024947687346e-18
"59",2.1090036711178e-18
"60",-2.39414811024665e-18
"61",2.10328385943617e-18
"62",2.38265846469709e-20
"63",8.04104957232613e-20
"64",-8.25919128805367e-19
"65",2.71183028815182e-18
"66",-2.94250889133038e-20
"67",-1.23952029883907e-18
"68",-2.31983129630967e-18
"69",2.5488058581777e-18
"70",-2.34121073642694e-18
"71",3.57547809489858e-21
"72",-5.97352461585999e-19
"73",-1.12933809601858e-18
"74",2.16185942126209e-18
"75",1.66586306466616e-19
"76",-1.97311443129136e-19
"77",9.73786441060422e-07
"78",-2.31005102635868e-18
"79",1.85433338203432e-07
"80",1.48544265789345e-18
"81",1.72112404600744e-18
"82",-1.89422434894652e-18
"83",-2.52493516528829e-18
"84",1.1077290687282e-18
"85",1.84001241557211e-18
"86",6.90959943865545e-19
"87",1.2107930901195e-18
"88",1.24857035232931e-18
"89",2.60080382637287e-18
"90",2.2302406560702e-18
"91",-1.45671973955626e-18
"92",-9.36281948354137e-19
"93",-7.82661600919067e-19
"94",6.77922592967715e-20
"95",0.000163449440556878
"96",1.93970156414276e-18
"97",-4.95340707975617e-19
"98",1.97475594648031e-18
"99",-1.18404505914172e-18
"100",-4.60891881063231e-19
"101",1.93234344048284e-19
"102",-1.78647718827488e-19
"103",-1.11994154353793e-18
"104",-1.71359915789784e-18
"105",-1.70603488919162e-18
"106",3.62326868044529e-19
"107",1.34063319103033e-18
"108",-2.55470901890411e-18
"109",1.85826546336944e-19
"110",-7.67722644547426e-21
"111",2.10366754436887e-18
"112",1.34293601002574e-18
"113",2.73429453651307e-19
"114",2.22908450252904e-18
"115",6.56631307552382e-05
"116",1.88533649153565e-18
"117",-1.7772966725151e-18
"118",-1.42471849893008e-18
"119",1.02400067962644e-18
"120",-1.71182614113789e-18
"121",-2.12342912992605e-18
"122",-1.17104994555993e-18
"123",-2.34295622044257e-18
"124",-4.22563936635335e-19
"125",-2.3754884481112e-18
"126",3.68188660282582e-06
"127",2.33789259240165e-18
"128",-1.30454536234627e-18
