"","authority"
"1",1.32036579322972e-16
"2",9.72493988311438e-17
"3",-6.76260963369541e-17
"4",1.0946317295556e-17
"5",-8.67820439853248e-18
"6",7.41809680812759e-17
"7",1.20024750006008e-16
"8",-4.72251902633363e-17
"9",-4.74336941498184e-17
"10",-1.14605612783327e-16
"11",3.08852998716071e-17
"12",-5.15244099965333e-18
"13",-8.7688480773798e-17
"14",1.23586872639242e-16
"15",1.18205567412086e-16
"16",-7.8571404123501e-18
"17",-4.51008387849941e-17
"18",1.30398893494245e-16
"19",3.1033156059933e-17
"20",1.14892581336253e-16
"21",2.17534254080469e-17
"22",-4.94704375945573e-17
"23",-2.36645052997749e-17
"24",-1.13600139143273e-16
"25",-9.16647895537033e-17
"26",-7.10968126286749e-18
"27",1.07680716738698e-16
"28",-7.7046435435527e-07
"29",2.21977598731606e-17
"30",-5.32529239115873e-17
"31",-1.08481176336051e-16
"32",-6.94903179748771e-17
"33",6.28531296099148e-17
"34",1.19433859471766e-16
"35",-6.27013499143482e-17
"36",4.54901508839875e-17
"37",-3.51527132566814e-17
"38",-6.78977723193811e-17
"39",-1.29757053306861e-16
"40",-2.42885356534118e-14
"41",6.68504932627462e-17
"42",-1.27316773581779e-16
"43",-5.87445514016271e-17
"44",-0.00160106166394323
"45",-4.00752664884374e-17
"46",-0.00160106166394304
"47",-3.48741937589054e-17
"48",-1.01603277031829e-16
"49",6.00750086160426e-17
"50",1.67570990916299e-17
"51",-7.03908487841502e-17
"52",5.91786301937807e-18
"53",6.93263201035763e-17
"54",5.94927361184317e-17
"55",3.71073974007453e-17
"56",8.85615068190997e-17
"57",3.57398708128937e-18
"58",-1.05230984503382e-16
"59",-1.08210737865273e-16
"60",1.16534130115974e-16
"61",-1.07102880769536e-16
"62",-1.19395460052357e-18
"63",-4.30589672836815e-18
"64",4.7961203725208e-17
"65",-1.29007198967758e-16
"66",1.59525504572218e-18
"67",6.19710365366947e-17
"68",1.0846045169473e-16
"69",-1.18470329241954e-16
"70",1.12730373586925e-16
"71",-1.86891063393682e-19
"72",3.06767135638101e-17
"73",5.8763161686086e-17
"74",-1.09435604045959e-16
"75",-7.91255207360744e-18
"76",9.44500045337977e-18
"77",-1.1670474961073e-16
"78",1.18847042539949e-16
"79",-6.89477464156445e-17
"80",-7.14105030962877e-17
"81",-8.68501188834448e-17
"82",9.9112110737959e-17
"83",1.28127225313375e-16
"84",-4.98045734494428e-17
"85",-9.72161585872051e-17
"86",-3.42655320353528e-17
"87",-6.26800554988182e-17
"88",-5.96076143695382e-17
"89",-1.31927562254628e-16
"90",-1.0310760872487e-16
"91",7.02569991349909e-17
"92",5.11535320031806e-17
"93",3.94474051148728e-17
"94",-3.51094808564854e-18
"95",-2.41036057599804e-17
"96",-9.15301222719507e-17
"97",2.33618153182884e-17
"98",-9.02635255125731e-17
"99",6.11625310375752e-17
"100",2.23341107315447e-17
"101",-9.86038351254519e-18
"102",8.45127801813157e-18
"103",5.60836593045073e-17
"104",8.50283592802168e-17
"105",9.1675489083285e-17
"106",-1.89467338529681e-17
"107",-7.9865927423166e-17
"108",1.23241271286702e-16
"109",-9.15397625000551e-18
"110",4.03287875078718e-19
"111",-1.20290784494462e-16
"112",-6.59363964773008e-17
"113",-1.44931684835752e-17
"114",-1.0347366771362e-16
"115",-3.30736438753907e-17
"116",-9.03910795059977e-17
"117",8.99587471632978e-17
"118",7.60323530133114e-17
"119",-5.68396923733486e-17
"120",9.78078454942539e-17
"121",1.07940445494683e-16
"122",5.97324715648386e-17
"123",1.31347024478292e-16
"124",2.26085224651695e-17
"125",1.2480732929291e-16
"126",-5.5518804729714e-17
"127",-1.15889652601556e-16
"128",6.90029237670572e-17
"129",8.4403316295848e-17
"130",4.8156355771423e-17
"131",-1.02162715333322e-16
"132",-4.03369367595421e-17
"133",9.23467073577508e-17
"134",-4.78010448603488e-17
"135",3.02660169053112e-17
"136",2.96800484337871e-17
"137",6.89010363642409e-20
"138",9.30191964242788e-17
"139",-2.31423891863291e-17
"140",-9.1216852206156e-17
"141",-2.38672872926779e-17
"142",-1.20827246893975e-16
"143",-1.48844591987323e-17
"144",9.31173095875795e-17
"145",-1.27823435868593e-16
"146",2.42077038864964e-17
"147",9.46601571743256e-17
"148",-9.05586834817635e-05
"149",6.56513310833111e-17
"150",3.03945599720576e-18
"151",9.48273359470987e-18
"152",-1.22087679547462e-16
"153",-1.44771434485483e-07
"154",7.95640884387156e-17
"155",4.77131681570109e-17
"156",-3.43028842563395e-17
"157",9.92026385187167e-17
"158",-3.98720250942906e-17
"159",-3.22409588013331e-17
"160",-8.00081733446572e-17
"161",6.68833776836669e-17
"162",6.21585360276966e-18
"163",2.92822076270115e-17
"164",7.87398598720896e-17
"165",1.24755593992011e-16
"166",-1.05689546942769e-16
"167",1.94835294155464e-17
"168",9.45361275859295e-17
"169",-1.1873419841172e-16
"170",2.36717451794295e-17
"171",9.75494949759802e-17
"172",-1.01846307301005e-16
"173",1.0791620626355e-16
"174",8.93782592546386e-17
"175",1.13676002905123e-16
"176",3.56435204500137e-17
"177",6.54906877705136e-17
"178",-3.04506569025848e-06
"179",-7.47093068982296e-17
"180",1.17944143421124e-17
"181",3.97996697369236e-17
"182",-5.05831454798623e-09
"183",-8.15790393399238e-17
"184",-1.14239680505638e-16
"185",-3.9964782163872e-17
"186",7.48675780987698e-17
"187",-4.75793141183411e-17
"188",-1.07871090495782e-16
"189",6.6095934075229e-17
"190",-9.54918311608303e-17
"191",7.63524004157582e-18
"192",-1.58019008609632e-18
"193",-2.65886505368211e-17
"194",-8.41388878534032e-17
"195",-6.75651849458028e-17
"196",9.98609397502162e-18
"197",-1.19022295612863e-16
"198",-3.51801880961451e-17
"199",1.60964345832943e-17
"200",-8.56188095007648e-17
"201",-1.05148147008369e-05
"202",-1.17369620805837e-07
"203",-1.29168043866683e-16
"204",-1.20388342297294e-16
"205",-9.29282752982272e-17
"206",5.56129782441058e-17
"207",-9.93506865869132e-18
"208",-3.81396204612686e-18
"209",1.04900083569463e-16
"210",2.2797972306556e-17
"211",-2.03056377778816e-17
"212",-9.92207244907104e-17
"213",1.58880149493153e-17
"214",-6.09725270826512e-17
"215",-9.77468911730034e-17
"216",-5.69549237303492e-17
"217",-7.9690980954042e-17
"218",-5.46345526202527e-17
"219",-6.39233316463401e-17
"220",1.27159045538947e-16
"221",-1.02286898038113e-16
"222",-6.5949979956533e-18
"223",9.67002369616786e-18
"224",1.14716973909238e-16
"225",-5.65127329586863e-17
"226",2.93091316820062e-18
"227",-4.4378768113132e-17
"228",-4.82092922055035e-17
"229",7.96137331712254e-17
"230",-1.10488174423236e-16
"231",-9.74525974517528e-17
"232",-1.03107924302186e-16
"233",-1.16412831266208e-17
"234",9.53987770732649e-17
"235",1.31469393756833e-17
"236",-1.2936334381724e-16
"237",7.52153100593229e-17
"238",1.42890158012205e-17
"239",4.8649950702011e-17
"240",-3.87542410362048e-18
"241",-2.54475168207555e-05
"242",1.59812919264839e-17
"243",8.59024938732864e-18
"244",-8.06944585850938e-17
"245",3.55372836730989e-17
"246",7.61149493734978e-17
"247",-1.31695641672487e-16
"248",9.12756119659805e-17
"249",-3.45891475916007e-17
"250",-3.07277191171948e-17
"251",1.32474450478342e-16
"252",1.31925896658731e-16
"253",-7.26251874677494e-17
"254",-5.9775994681799e-17
"255",4.79149597033557e-17
"256",2.17428737804983e-17
"257",-4.83372917062527e-17
"258",-4.78694436914893e-17
"259",7.79491170451884e-17
"260",-8.89617294062322e-17
"261",-2.84187601702338e-05
"262",-8.73827460310192e-17
"263",1.07175020097357e-16
"264",1.10915493512177e-16
"265",-7.00238774300925e-17
"266",-3.42303506237162e-17
"267",7.56722886989996e-17
"268",-2.24398716110532e-14
"269",-0.000319931838852685
"270",-1.61821409367695e-07
"271",-1.20013234719287e-16
"272",-1.18348379084306e-16
"273",2.90784142209177e-17
"274",6.09928202929728e-17
"275",-5.08858667225554e-17
"276",5.74682555688564e-17
"277",-7.30517659548881e-17
"278",-7.48675995275115e-17
"279",2.05493690981127e-17
"280",5.7591291764416e-17
"281",-0.000339769348532443
"282",1.29583304531312e-16
"283",8.19450541255348e-17
"284",-1.27459044192405e-16
"285",6.76058958910451e-17
"286",-8.4191800638127e-17
"287",9.59837516315012e-17
"288",2.69029666823948e-17
"289",-2.68969458988382e-17
"290",8.59974293295885e-17
"291",-8.67805840184092e-17
"292",9.06791378777226e-17
"293",-1.2966265865625e-16
"294",6.43135807412984e-17
"295",-0.000165710074667196
"296",1.05772201375576e-16
"297",7.45609108958192e-17
"298",-3.56478973396252e-17
"299",-1.61821409447975e-07
"300",-3.67973588993248e-06
"301",-5.18210631346752e-17
"302",-6.69527102527619e-17
"303",-4.47136130418091e-17
"304",-3.51918150578185e-17
"305",1.16892708558375e-16
"306",-2.59848493086135e-17
"307",7.22245921856169e-17
"308",4.80424646174657e-17
"309",-5.28771222055982e-17
"310",1.00922177025198e-16
"311",-6.95139102616583e-17
"312",-6.9356892699446e-18
"313",-1.42382815099675e-17
"314",-2.32871378707199e-17
"315",4.50421897669272e-17
"316",-1.37542834636634e-14
"317",9.48836409225734e-17
"318",8.95588310863993e-17
"319",3.88145789483799e-18
"320",1.16228984157396e-14
"321",-8.28594554444047e-17
"322",-1.61821409412682e-07
"323",-6.29021787654925e-17
"324",4.83120008164316e-17
"325",-1.99192055432273e-08
