"","authority"
"1",1.94042398905158e-14
"2",1.42996899426315e-14
"3",-9.91937249728591e-15
"4",1.60470436601495e-15
"5",-1.27164379470199e-15
"6",1.09067675427254e-14
"7",1.75784412459471e-14
"8",-6.94145765372895e-15
"9",-6.95824960312416e-15
"10",-1.68699005275263e-14
"11",4.52117915718203e-15
"12",-7.53520399587836e-16
"13",-1.28442121798625e-14
"14",1.80624023112759e-14
"15",1.73299123441871e-14
"16",-1.15262812207892e-15
"17",-6.64207584374399e-15
"18",1.91057880996713e-14
"19",4.52462788884132e-15
"20",1.68103778564763e-14
"21",3.20222524154617e-15
"22",-7.24819020829762e-15
"23",-3.45303319736089e-15
"24",-1.67045236942346e-14
"25",-1.34341718791538e-14
"26",-1.04507498693525e-15
"27",1.58355597185452e-14
"28",-2.81471131701206e-06
"29",3.25994466012972e-15
"30",-7.80801664495731e-15
"31",-1.59236842535812e-14
"32",-1.01754291774494e-14
"33",9.21892959874894e-15
"34",1.75624895793965e-14
"35",-9.16211115325265e-15
"36",6.66623186903149e-15
"37",-5.14742521085716e-15
"38",-9.95080458292267e-15
"39",-1.90566155650046e-14
"40",1.27570343592809e-13
"41",9.81726202313787e-15
"42",-1.8727349456194e-14
"43",-8.64104026961454e-15
"44",-0.00139187463267339
"45",-5.88028326080282e-15
"46",-0.00139187463264697
"47",-5.10845178302386e-15
"48",-1.49299339618763e-14
"49",8.82061954433841e-15
"50",2.46783178775228e-15
"51",-1.03421500673583e-14
"52",8.64185959306211e-16
"53",1.01764841463934e-14
"54",8.73538650760226e-15
"55",5.46172832467504e-15
"56",1.29427271936117e-14
"57",5.23236879492994e-16
"58",-1.54327440936084e-14
"59",-1.58811853488935e-14
"60",1.70535559070596e-14
"61",-1.57036479632749e-14
"62",-1.75524769770501e-16
"63",-6.32267090087778e-16
"64",7.02324228797537e-15
"65",-1.88859447036636e-14
"66",2.33757872808825e-16
"67",9.07548421083425e-15
"68",1.58833211244201e-14
"69",-1.73769387655321e-14
"70",1.65424923704114e-14
"71",-2.74411726818907e-17
"72",4.49640346010692e-15
"73",8.65089461142935e-15
"74",-1.60597953654311e-14
"75",-1.15445069959593e-15
"76",1.37979413060988e-15
"77",-1.71136344824088e-14
"78",1.74603761139051e-14
"79",-1.01491931295279e-14
"80",-1.04863413041634e-14
"81",-1.27222941051063e-14
"82",1.45389588878963e-14
"83",1.87887412803546e-14
"84",-7.31364235616494e-15
"85",-1.42914132110686e-14
"86",-5.02744848582765e-15
"87",-9.16753392873152e-15
"88",-8.74799806710668e-15
"89",-1.93831721575593e-14
"90",-1.50797857979755e-14
"91",1.0354532685859e-14
"92",7.51649881500335e-15
"93",5.78184792205568e-15
"94",-5.15137363998536e-16
"95",-3.53597854383211e-15
"96",-1.3427088148103e-14
"97",3.41200097359433e-15
"98",-1.32531774248601e-14
"99",8.95248285945502e-15
